Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Excitation source (nm),Monitoring energy (nm),Log10 Decay time ( log10[ns]),Formula
6.04,4,0.04,3.96,165,74,8,66,391.881,183.84,15.999,167.841,560,185,60,125,6.14,3.44,0,3.44,16,6,2,4,33.2656242,13.618054,5.670385,7.947669,128.52,74,2.52,71.48,293.99256,183.84,6.07856,177.76144,562.4,240,7.4,232.6,16.46,13.76,0,13.76,32.08,24,0.08,23.92,68.6762166,54.472216,0.2268154,54.2454006,298,276,415,3.662757832,CaWO4Eu0.04
6.12,4,0.12,3.88,165,74,8,66,391.881,183.84,15.999,167.841,560,185,60,125,6.14,3.44,0,3.44,16,6,2,4,33.2656242,13.618054,5.670385,7.947669,133.56,74,7.56,66.44,306.14968,183.84,18.23568,165.60432,577.2,240,22.2,217.8,16.46,13.76,0,13.76,32.24,24,0.24,23.76,69.1298474,54.472216,0.6804462,53.7917698,298,276,415,3.795880017,CaWO4Eu0.12
6.02,4,0.02,3.98,165,74,8,66,391.881,183.84,15.999,167.841,560,185,60,125,6.14,3.44,0,3.44,16,6,2,4,33.2656242,13.618054,5.670385,7.947669,127.26,74,1.26,72.74,290.95328,183.84,3.03928,180.80072,558.7,240,3.7,236.3,16.46,13.76,0,13.76,32.04,24,0.04,23.96,68.5628089,54.472216,0.1134077,54.3588083,298,276,415,3.833784375,CaWO4Eu0.02
6.08,4,0.08,3.92,165,74,8,66,391.881,183.84,15.999,167.841,560,185,60,125,6.14,3.44,0,3.44,16,6,2,4,33.2656242,13.618054,5.670385,7.947669,131.04,74,5.04,68.96,300.07112,183.84,12.15712,171.68288,569.8,240,14.8,225.2,16.46,13.76,0,13.76,32.16,24,0.16,23.84,68.903032,54.472216,0.4536308,54.0185852,298,276,415,3.920123326,CaWO4Eu0.08
6.01,4,0.01,3.99,165,74,8,66,391.881,183.84,15.999,167.841,560,185,60,125,6.14,3.44,0,3.44,16,6,2,4,33.2656242,13.618054,5.670385,7.947669,126.63,74,0.63,73.37,289.43364,183.84,1.51964,182.32036,556.85,240,1.85,238.15,16.46,13.76,0,13.76,32.02,24,0.02,23.98,68.50610505,54.472216,0.05670385,54.41551215,298,276,415,3.951823035,CaWO4Eu0.01
19.19,12,0.04,11.96,247,65,8,57,579.24332,158.92535,15.999,142.92635,1115,220,60,160,8.7,3.44,0,3.44,21,6,1,5,51.75274254,13.618054,4.34066354,9.27739046,270.27,96,2.52,93.48,581.1637645,191.988,6.07856,185.90944,1808.65,720,7.4,712.6,52.28,41.28,0,41.28,96.38,72,0.08,71.92,218.6583989,163.416648,0.2268154,163.1898326,298,300,420,2.477699928,KBaSc2P3O12Eu0.04Tb0.15
19.16,12,0.04,11.96,247,65,8,57,579.24332,158.92535,15.999,142.92635,1115,220,60,160,8.7,3.44,0,3.44,21,6,1,5,51.75274254,13.618054,4.34066354,9.27739046,268.32,96,2.52,93.48,576.396004,191.988,6.07856,185.90944,1803.4,720,7.4,712.6,52.28,41.28,0,41.28,96.32,72,0.08,71.92,218.4824849,163.416648,0.2268154,163.1898326,298,300,420,2.517591731,KBaSc2P3O12Eu0.04Tb0.12
19.13,12,0.04,11.96,247,65,8,57,579.24332,158.92535,15.999,142.92635,1115,220,60,160,8.7,3.44,0,3.44,21,6,1,5,51.75274254,13.618054,4.34066354,9.27739046,266.37,96,2.52,93.48,571.6282435,191.988,6.07856,185.90944,1798.15,720,7.4,712.6,52.28,41.28,0,41.28,96.26,72,0.08,71.92,218.3065709,163.416648,0.2268154,163.1898326,298,300,420,2.550839605,KBaSc2P3O12Eu0.04Tb0.09
19.1,12,0.04,11.96,247,65,8,57,579.24332,158.92535,15.999,142.92635,1115,220,60,160,8.7,3.44,0,3.44,21,6,1,5,51.75274254,13.618054,4.34066354,9.27739046,264.42,96,2.52,93.48,566.860483,191.988,6.07856,185.90944,1792.9,720,7.4,712.6,52.28,41.28,0,41.28,96.2,72,0.08,71.92,218.1306569,163.416648,0.2268154,163.1898326,298,300,420,2.57333584,KBaSc2P3O12Eu0.04Tb0.06
19.07,12,0.03,11.97,247,65,8,57,579.24332,158.92535,15.999,142.92635,1115,220,60,160,8.7,3.44,0,3.44,21,6,1,5,51.75274254,13.618054,4.34066354,9.27739046,262.47,96,1.95,94.05,562.0927225,191.988,4.7677605,187.2202395,1787.65,720,5.25,714.75,52.28,41.28,0,41.28,96.14,72,0.06,71.94,217.9547429,163.416648,0.175914,163.240734,298,300,420,2.60238559,KBaSc2P3O12Eu0.04Tb0.03
19.04,12,0.04,11.96,182,63,8,55,420.31797,151.964,15.999,135.965,940,220,60,160,8.7,3.44,0,3.44,19,6,1,5,45.88894254,13.618054,4.34066354,9.27739046,260.52,96,2.52,93.48,557.324962,191.988,6.07856,185.90944,1782.4,720,7.4,712.6,52.28,41.28,0,41.28,96.08,72,0.08,71.92,217.7788289,163.416648,0.2268154,163.1898326,298,300,420,2.657533888,KBaSc2P3O12Eu0.04
13.07,8,0.07,7.93,129,63,8,55,286.0973078,151.964,15.999,135.965,840,185,60,125,8.88,3.44,0,3.44,18,6,1,5,44.6781223,13.618054,5.1390767,8.4789773,139.69,64,3.74,60.26,283.4057355,127.992,7.816521555,120.1754784,1137.85,480,12.95,467.05,35.6148,27.52,0,27.52,64.14,48,0.14,47.86,144.1346412,108.944432,0.39692695,108.5475051,298,365,420,2.712649702,Na0.34Ca0.66Al1.66Si2.34O8Eu0.07
14.03,8,0.03,7.97,181,63,8,55,415.440062,151.964,15.999,135.965,960,220,60,160,8.34,3.44,0,3.44,18,6,1,5,45.44060774,13.618054,4.34066354,9.27739046,209.89,64,1.89,62.11,450.100044,137.327,4.55892,132.76808,1520.55,480,5.55,474.45,35.43,27.52,0,27.52,64.06,48,0.06,47.94,150.0940618,108.944432,0.17011155,108.7743205,298,350,420,2.7410302,K2BaCaP2O8Eu0.03
13,8,0.01,7.99,143,63,8,55,318.0455825,151.964,15.999,135.965,800,185,60,125,9.5,3.44,0,3.44,24,7,2,5,46.9730636,13.618054,5.670385,7.947669,139.68,64,0.63,63.37,283.036948,127.992,1.51964,126.47236,1120.05,480,1.85,478.15,35.6675,27.52,0,27.52,65.25,48,0.02,47.98,143.658278,108.944432,0.05670385,108.8877282,298,354,425,2.531478917,Ca0.74Al2Si2O8Eu0.01Mn0.25
13,8,0.01,7.99,143,63,8,55,318.0455825,151.964,15.999,135.965,800,185,60,125,9.5,3.44,0,3.44,24,7,2,5,46.9730636,13.618054,5.670385,7.947669,139.43,64,0.63,63.37,282.2939458,127.992,1.51964,126.47236,1122.05,480,1.85,478.15,35.64,27.52,0,27.52,65,48,0.02,47.98,143.5922349,108.944432,0.05670385,108.8877282,298,354,425,2.633468456,Ca0.79Al2Si2O8Eu0.01Mn0.2
13,8,0.01,7.99,143,63,8,55,318.0455825,151.964,15.999,135.965,800,185,60,125,9.5,3.44,0,3.44,24,7,2,5,46.9730636,13.618054,5.670385,7.947669,139.18,64,0.63,63.37,281.5509436,127.992,1.51964,126.47236,1124.05,480,1.85,478.15,35.6125,27.52,0,27.52,64.75,48,0.02,47.98,143.5261917,108.944432,0.05670385,108.8877282,298,354,425,2.755874856,Ca0.84Al2Si2O8Eu0.01Mn0.15
13,8,0.01,7.99,143,63,8,55,318.0455825,151.964,15.999,135.965,800,185,60,125,9.5,3.44,0,3.44,24,7,2,5,46.9730636,13.618054,5.670385,7.947669,138.93,64,0.63,63.37,280.8079414,127.992,1.51964,126.47236,1126.05,480,1.85,478.15,35.585,27.52,0,27.52,64.5,48,0.02,47.98,143.4601486,108.944432,0.05670385,108.8877282,298,354,425,2.819543936,Ca0.89Al2Si2O8Eu0.01Mn0.1
