Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Excitation source (nm),Monitoring energy (nm),Log10 Decay time ( log10[ns]),Formula
13.11,8,0.01,7.99,189,63,8,55,421.956946,151.964,15.999,135.965,1065,220,60,160,10.22,3.44,0,3.44,26,7,1,6,53.88022174,13.618054,4.34066354,9.27739046,175.13,64,0.63,63.37,365.0351084,127.992,1.51964,126.47236,1275.85,480,1.85,478.15,35.095,27.52,0,27.52,64.72,48,0.02,47.98,147.3889884,108.944432,0.05670385,108.8877282,298,380,469,2.255272505,KCaYP2O8Eu0.01Mn0.1
13.08,8,0.01,7.99,189,63,8,55,421.956946,151.964,15.999,135.965,1065,220,60,160,10.22,3.44,0,3.44,26,7,1,6,53.88022174,13.618054,4.34066354,9.27739046,174.38,64,0.63,63.37,363.3869671,127.992,1.51964,126.47236,1271.65,480,1.85,478.15,35.0485,27.52,0,27.52,64.51,48,0.02,47.98,147.1659679,108.944432,0.05670385,108.8877282,298,380,469,2.322219295,KCaYP2O8Eu0.01Mn0.07
28.94,18,0.02,17.98,135,63,8,55,302.2725825,151.964,15.999,135.965,770,185,60,125,9.81,3.44,0,3.44,24,7,2,5,48.5061434,13.618054,5.670385,7.947669,290.82,144,1,143,587.2633558,287.982,2.19752176,285.7844782,2421.3,1080,3.7,1076.3,80.3848,61.92,0,61.92,144.08,108,0.04,107.96,324.6121508,245.124972,0.1134077,245.0115643,298,365,469,2.428928115,Mg1.88Al4Si5O18Eu0.02Mn0.04
28.96,18,0.02,17.98,135,63,8,55,302.2725825,151.964,15.999,135.965,770,185,60,125,9.81,3.44,0,3.44,24,7,2,5,48.5061434,13.618054,5.670385,7.947669,290.8,144,0.5,143.5,587.1367949,287.982,1.09876088,286.8832391,2424.5,1080,2.8,1077.2,80.4062,61.92,0,61.92,144.02,108,0.04,107.96,324.7693199,245.124972,0.1134077,245.0115643,298,365,469,2.590329025,Mg1.92Al4Si5O18Eu0.02Mn0.02
13.06,8,0.01,7.99,189,63,8,55,421.956946,151.964,15.999,135.965,1065,220,60,160,10.22,3.44,0,3.44,26,7,1,6,53.88022174,13.618054,4.34066354,9.27739046,173.88,64,0.63,63.37,362.2882062,127.992,1.51964,126.47236,1268.85,480,1.85,478.15,35.0175,27.52,0,27.52,64.37,48,0.02,47.98,147.0172875,108.944432,0.05670385,108.8877282,298,380,469,2.591064607,KCaYP2O8Eu0.01Mn0.05
13.06,8,0.01,7.99,189,63,8,55,421.956946,151.964,15.999,135.965,1065,220,60,160,10.22,3.44,0,3.44,26,7,1,6,53.88022174,13.618054,4.34066354,9.27739046,173.88,64,0.63,63.37,362.2882062,127.992,1.51964,126.47236,1268.85,480,1.85,478.15,35.0175,27.52,0,27.52,64.37,48,0.02,47.98,147.0172875,108.944432,0.05670385,108.8877282,298,380,469,2.591064607,KCaYP2O8Eu0.01Mn0.05
13.05,8,0.01,7.99,189,63,8,55,421.956946,151.964,15.999,135.965,1065,220,60,160,10.22,3.44,0,3.44,26,7,1,6,53.88022174,13.618054,4.34066354,9.27739046,173.63,64,0.63,63.37,361.7388258,127.992,1.51964,126.47236,1267.45,480,1.85,478.15,35.002,27.52,0,27.52,64.3,48,0.02,47.98,146.9429473,108.944432,0.05670385,108.8877282,298,380,469,2.633468456,KCaYP2O8Eu0.01Mn0.04
13.05,8,0.01,7.99,189,63,8,55,421.956946,151.964,15.999,135.965,1065,220,60,160,10.22,3.44,0,3.44,26,7,1,6,53.88022174,13.618054,4.34066354,9.27739046,173.63,64,0.63,63.37,361.7388258,127.992,1.51964,126.47236,1267.45,480,1.85,478.15,35.002,27.52,0,27.52,64.3,48,0.02,47.98,146.9429473,108.944432,0.05670385,108.8877282,298,380,469,2.633468456,KCaYP2O8Eu0.01Mn0.04
13.03,8,0.01,7.99,189,63,8,55,421.956946,151.964,15.999,135.965,1065,220,60,160,10.22,3.44,0,3.44,26,7,1,6,53.88022174,13.618054,4.34066354,9.27739046,173.13,64,0.5,63.5,360.6400649,127.992,1.09876088,126.8932391,1264.65,480,1.85,478.15,34.971,27.52,0,27.52,64.16,48,0.02,47.98,146.7942669,108.944432,0.05670385,108.8877282,298,380,469,2.653212514,KCaYP2O8Eu0.01Mn0.02
13.01,8,0.01,7.99,164,63,8,55,367.018902,151.964,15.999,135.965,925,220,60,160,8.67,3.44,0,3.44,19,6,1,5,46.44620374,13.618054,4.34066354,9.27739046,172.63,64,0.63,63.37,359.541304,127.992,1.51964,126.47236,1261.85,480,1.85,478.15,34.94,27.52,0,27.52,64.02,48,0.02,47.98,146.6455866,108.944432,0.05670385,108.8877282,298,380,469,2.662757832,KCaYP2O8Eu0.01
28.98,18,0.02,17.98,110,63,8,55,247.3345385,151.964,15.999,135.965,630,185,60,125,8.26,3.44,0,3.44,17,6,2,4,41.0721254,13.618054,5.670385,7.947669,290.78,144,1.26,142.74,587.010234,287.982,3.03928,284.94272,2427.7,1080,3.7,1076.3,80.4276,61.92,0,61.92,143.96,108,0.04,107.96,324.9264889,245.124972,0.1134077,245.0115643,298,365,469,2.808777955,Mg1.96Al4Si5O18Eu0.02
7,4,0.09,3.91,145,63,3,60,343.203762,151.964,6.94,145.024,705,215,60,155,7.5,3.44,0,3.44,16,6,1,5,40.37850376,13.618054,5.211664,8.40639,106.63,50.96,3,47.96,240.554092,124.96757,6.94,118.02757,697.3,240,16.65,223.35,17.7399,13.76,0,13.76,32,24,0.18,23.82,75.60356565,54.472216,0.51033465,53.96188135,298,350,470,2.86332286,LiBa0.91PO4Eu0.09
7,4,0.05,3.95,145,63,3,60,343.203762,151.964,6.94,145.024,705,215,60,155,7.5,3.44,0,3.44,16,6,1,5,40.37850376,13.618054,5.211664,8.40639,106.35,53.2,3,50.2,239.968612,130.46065,6.94,123.52065,698.5,240,9.25,230.75,17.7755,13.76,0,13.76,32,24,0.1,23.9,75.58521681,54.472216,0.28351925,54.18869675,298,350,470,2.991226076,LiBa0.95PO4Eu0.05
7,4,0.03,3.97,145,63,3,60,343.203762,151.964,6.94,145.024,705,215,60,155,7.5,3.44,0,3.44,16,6,1,5,40.37850376,13.618054,5.211664,8.40639,106.21,54.32,1.89,52.43,239.675872,133.20719,4.55892,128.64827,699.1,240,5.55,234.45,17.7933,13.76,0,13.76,32,24,0.06,23.94,75.57604239,54.472216,0.17011155,54.30210445,298,350,470,2.995635195,LiBa0.97PO4Eu0.03
7,4,0.01,3.99,145,63,3,60,343.203762,151.964,6.94,145.024,705,215,60,155,7.5,3.44,0,3.44,16,6,1,5,40.37850376,13.618054,5.211664,8.40639,106.07,55.44,0.63,54.81,239.383132,135.95373,1.51964,134.43409,699.7,240,1.85,238.15,17.8111,13.76,0,13.76,32,24,0.02,23.98,75.56686797,54.472216,0.05670385,54.41551215,298,350,470,3.079181246,LiBa0.99PO4Eu0.01
36.03,16,0.03,15.97,136,63,3,60,311.4455693,151.964,6.94,145.024,915,235,60,175,8.07,3.44,0,3.44,15,6,1,5,42.14804146,13.618054,4.177128,9.440926,291.89,128,1.89,126.11,610.6000278,255.984,4.55892,251.42508,3920.55,1740,5.55,1734.45,78.01,55.04,0,55.04,128.06,96,0.06,95.94,334.9606428,217.888864,0.17011155,217.7187525,298,400,471,2.86923172,RbNa3Li12Si4O16Eu0.03
14.258,8,0.008,7.992,161,63,8,55,356.0408753,151.964,15.999,135.965,1065,220,60,160,9.93,3.44,0,3.44,24,7,1,6,52.80203844,13.618054,4.34066354,9.27739046,170.754,64,0.504,63.496,347.1338163,127.992,1.215712,126.776288,1476.48,480,1.48,478.52,36.0375,27.52,0,27.52,65.766,48,0.016,47.984,153.5277222,108.944432,0.04536308,108.8990689,298,365,472,2.361727836,KNaCa2P2O8Eu0.008Mn0.25
14.208,8,0.008,7.992,161,63,8,55,356.0408753,151.964,15.999,135.965,1065,220,60,160,9.93,3.44,0,3.44,24,7,1,6,52.80203844,13.618054,4.34066354,9.27739046,169.504,64,0.504,63.496,344.3869141,127.992,1.215712,126.776288,1469.48,480,1.48,478.52,35.96,27.52,0,27.52,65.416,48,0.016,47.984,153.1560213,108.944432,0.04536308,108.8990689,298,365,472,2.447158031,KNaCa2P2O8Eu0.008Mn0.2
14.158,8,0.008,7.992,161,63,8,55,356.0408753,151.964,15.999,135.965,1065,220,60,160,9.93,3.44,0,3.44,24,7,1,6,52.80203844,13.618054,4.34066354,9.27739046,168.254,64,0.504,63.496,341.6400119,127.992,1.215712,126.776288,1462.48,480,1.48,478.52,35.8825,27.52,0,27.52,65.066,48,0.016,47.984,152.7843204,108.944432,0.04536308,108.8990689,298,365,472,2.556302501,KNaCa2P2O8Eu0.008Mn0.15
14.108,8,0.008,7.992,161,63,8,55,356.0408753,151.964,15.999,135.965,1065,220,60,160,9.93,3.44,0,3.44,24,7,1,6,52.80203844,13.618054,4.34066354,9.27739046,167.004,64,0.504,63.496,338.8931097,127.992,1.215712,126.776288,1455.48,480,1.48,478.52,35.805,27.52,0,27.52,64.716,48,0.016,47.984,152.4126195,108.944432,0.04536308,108.8990689,298,365,472,2.612783857,KNaCa2P2O8Eu0.008Mn0.1
14.058,8,0.008,7.992,161,63,8,55,356.0408753,151.964,15.999,135.965,1065,220,60,160,9.93,3.44,0,3.44,24,7,1,6,52.80203844,13.618054,4.34066354,9.27739046,165.754,64,0.504,63.496,336.1462075,127.992,1.215712,126.776288,1448.48,480,1.48,478.52,35.7275,27.52,0,27.52,64.366,48,0.016,47.984,152.0409186,108.944432,0.04536308,108.8990689,298,365,472,2.707570176,KNaCa2P2O8Eu0.008Mn0.05
2.1,0.985,0.005,0.98,196,65,11,54,460.5974193,158.92535,22.98976928,135.9355807,960,220,175,45,2.7,0.95,0,0.95,8,2,1,1,26.70879244,5.8638,4.34066354,1.52313646,59.095,37.43,0.315,37.115,133.9804901,86.3057,0.75982,85.54588,413.175,197,0.925,196.075,1.82175,0.93575,0,0.93575,3.2,1.97,0.01,1.96,11.10252555,5.609444192,0.028351925,5.581092267,298,365,472,2.748188027,K0.4Na0.6Sr0.985Eu0.005Tb0.11
2,0.905,0.005,0.9,196,65,11,54,460.5974193,158.92535,22.98976928,135.9355807,960,220,175,45,2.7,0.95,0,0.95,8,2,1,1,26.70879244,5.8638,4.34066354,1.52313646,54.755,34.39,0.315,34.075,123.7923831,79.2961,0.75982,78.53628,393.675,181,0.925,180.075,1.74575,0.85975,0,0.85975,3,1.81,0.01,1.8,10.52966018,5.153854816,0.028351925,5.125502891,298,365,472,2.812913357,K0.4Na0.6Sr0.905Eu0.005Tb0.09
2,0.925,0.005,0.92,196,65,11,54,460.5974193,158.92535,22.98976928,135.9355807,960,220,175,45,2.7,0.95,0,0.95,8,2,1,1,26.70879244,5.8638,4.34066354,1.52313646,54.215,35.15,0.315,34.835,122.3662761,81.0485,0.75982,80.28868,394.175,185,0.925,184.075,1.76475,0.87875,0,0.87875,3,1.85,0.01,1.84,10.52628152,5.26775216,0.028351925,5.239400235,298,365,472,2.819543936,K0.4Na0.6Sr0.925Eu0.005Tb0.07
2,0.945,0.005,0.94,196,65,11,54,460.5974193,158.92535,22.98976928,135.9355807,960,220,175,45,2.7,0.95,0,0.95,8,2,1,1,26.70879244,5.8638,4.34066354,1.52313646,53.675,35.91,0.315,35.595,120.9401691,82.8009,0.75982,82.04108,394.675,189,0.925,188.075,1.78375,0.89775,0,0.89775,3,1.89,0.01,1.88,10.52290287,5.381649504,0.028351925,5.353297579,298,365,472,2.838849091,K0.4Na0.6Sr0.945Eu0.005Tb0.05
2,0.965,0.005,0.96,196,65,11,54,460.5974193,158.92535,22.98976928,135.9355807,960,220,175,45,2.7,0.95,0,0.95,8,2,1,1,26.70879244,5.8638,4.34066354,1.52313646,53.135,36.67,0.315,36.355,119.5140621,84.5533,0.75982,83.79348,395.175,193,0.925,192.075,1.80275,0.91675,0,0.91675,3,1.93,0.01,1.92,10.51952421,5.495546848,0.028351925,5.467194923,298,365,472,2.857332496,K0.4Na0.6Sr0.965Eu0.005Tb0.03
14.008,8,0.008,7.992,136,63,8,55,301.1028313,151.964,15.999,135.965,925,220,60,160,8.38,3.44,0,3.44,17,6,1,5,45.36802044,13.618054,4.34066354,9.27739046,164.504,64,0.504,63.496,333.3993053,127.992,1.215712,126.776288,1441.48,480,1.48,478.52,35.65,27.52,0,27.52,64.016,48,0.016,47.984,151.6692177,108.944432,0.04536308,108.8990689,298,365,472,2.982271233,KNaCa2P2O8Eu0.008
14.03,8,0.03,7.97,181,63,8,55,415.440062,151.964,15.999,135.965,960,220,60,160,8.34,3.44,0,3.44,18,6,1,5,45.44060774,13.618054,4.34066354,9.27739046,209.89,64,1.89,62.11,450.100044,137.327,4.55892,132.76808,1520.55,480,5.55,474.45,35.43,27.52,0,27.52,64.06,48,0.06,47.94,150.0940618,108.944432,0.17011155,108.7743205,298,350,478,2.790632742,K2BaCaP2O8Eu0.03
26.85,15,0.01,14.99,153,63,8,55,338.3588133,151.964,15.999,135.965,1005,185,60,125,10.13,3.44,0,3.44,24,7,1,6,53.7726069,13.618054,5.1390767,8.4789773,301.95,120,0.63,119.37,607.9024238,239.985,1.51964,238.46536,2695.45,900,1.85,898.15,67.5116,51.6,0,51.6,120.3,90,0.02,89.98,285.7699496,204.27081,0.05670385,204.2141062,298,330,480,2.309630167,Na2Ca3.96Mg1.76Si4O15Eu0.01Mn0.12
26.87,15,0.01,14.99,153,63,8,55,338.3588133,151.964,15.999,135.965,1005,185,60,125,10.13,3.44,0,3.44,24,7,1,6,53.7726069,13.618054,5.1390767,8.4789773,301.93,120,0.63,119.37,607.775863,239.985,1.51964,238.46536,2698.65,900,1.85,898.15,67.533,51.6,0,51.6,120.24,90,0.02,89.98,285.9271186,204.27081,0.05670385,204.2141062,298,330,480,2.432969291,Na2Ca3.96Mg1.8Si4O15Eu0.01Mn0.1
26.91,15,0.01,14.99,153,63,8,55,338.3588133,151.964,15.999,135.965,1005,185,60,125,10.13,3.44,0,3.44,24,7,1,6,53.7726069,13.618054,5.1390767,8.4789773,301.89,120,0.63,119.37,607.5227412,239.985,1.51964,238.46536,2705.05,900,1.85,898.15,67.5758,51.6,0,51.6,120.12,90,0.02,89.98,286.2414567,204.27081,0.05670385,204.2141062,298,330,480,2.44870632,Na2Ca3.96Mg1.88Si4O15Eu0.01Mn0.06
26.89,15,0.01,14.99,153,63,8,55,338.3588133,151.964,15.999,135.965,1005,185,60,125,10.13,3.44,0,3.44,24,7,1,6,53.7726069,13.618054,5.1390767,8.4789773,301.91,120,0.63,119.37,607.6493021,239.985,1.51964,238.46536,2701.85,900,1.85,898.15,67.5544,51.6,0,51.6,120.18,90,0.02,89.98,286.0842877,204.27081,0.05670385,204.2141062,298,330,480,2.506505032,Na2Ca3.96Mg1.84Si4O15Eu0.01Mn0.08
26.93,15,0.01,14.99,153,63,8,55,338.3588133,151.964,15.999,135.965,1005,185,60,125,10.13,3.44,0,3.44,24,7,1,6,53.7726069,13.618054,5.1390767,8.4789773,301.87,120,0.63,119.37,607.3961803,239.985,1.51964,238.46536,2708.25,900,1.85,898.15,67.5972,51.6,0,51.6,120.06,90,0.02,89.98,286.3986258,204.27081,0.05670385,204.2141062,298,330,480,2.534026106,Na2Ca3.96Mg1.92Si4O15Eu0.01Mn0.04
26.94,15,0.01,14.99,153,63,8,55,338.3588133,151.964,15.999,135.965,1005,185,60,125,10.13,3.44,0,3.44,24,7,1,6,53.7726069,13.618054,5.1390767,8.4789773,301.86,120,0.63,119.37,607.3328999,239.985,1.51964,238.46536,2709.85,900,1.85,898.15,67.6079,51.6,0,51.6,120.03,90,0.02,89.98,286.4772103,204.27081,0.05670385,204.2141062,298,330,480,2.559906625,Na2Ca3.96Mg1.94Si4O15Eu0.01Mn0.03
26.95,15,0.01,14.99,153,63,8,55,338.3588133,151.964,15.999,135.965,1005,185,60,125,10.13,3.44,0,3.44,24,7,1,6,53.7726069,13.618054,5.1390767,8.4789773,301.85,120,0.5,119.5,607.2696194,239.985,1.09876088,238.8862391,2711.45,900,1.85,898.15,67.6186,51.6,0,51.6,120,90,0.02,89.98,286.5557948,204.27081,0.05670385,204.2141062,298,330,480,2.579783597,Na2Ca3.96Mg1.96Si4O15Eu0.01Mn0.02
44.28,28,0.01,27.99,202,71,8,63,468.919606,174.9668,15.999,158.9678,840,185,60,125,9.18,3.44,0,3.44,24,7,2,5,48.7481692,13.618054,5.425871,8.192183,566.43,224,0.63,223.37,1173.908638,447.972,1.51964,446.45236,4042.25,1680,1.85,1678.15,120.964,96.32,0,96.32,221.96,168,0.02,167.98,510.8563514,381.305512,0.05670385,381.2488082,298,355,480,2.580924976,Ca8.19LuP7O28Eu0.01Mn0.08
26.96,15,0.01,14.99,153,63,8,55,338.3588133,151.964,15.999,135.965,1005,185,60,125,10.13,3.44,0,3.44,24,7,1,6,53.7726069,13.618054,5.1390767,8.4789773,301.84,120,0.25,119.75,607.206339,239.985,0.54938044,239.4356196,2713.05,900,1.4,898.6,67.6293,51.6,0,51.6,119.97,90,0.02,89.98,286.6343793,204.27081,0.05670385,204.2141062,298,330,480,2.584331224,Na2Ca3.96Mg1.98Si4O15Eu0.01Mn0.01
44.44,28,0.01,27.99,202,71,8,63,468.919606,174.9668,15.999,158.9678,840,185,60,125,9.18,3.44,0,3.44,24,7,2,5,48.7481692,13.618054,5.425871,8.192183,569.53,224,0.63,223.37,1180.023917,447.972,1.51964,446.45236,4071.85,1680,1.85,1678.15,121.113,96.32,0,96.32,222.18,168,0.02,167.98,511.808039,381.305512,0.05670385,381.2488082,298,355,480,2.689308859,Ca8.37LuP7O28Eu0.01Mn0.06
26.97,15,0.01,14.99,128,63,8,55,283.4207693,151.964,15.999,135.965,865,185,60,125,8.58,3.44,0,3.44,17,6,1,5,46.3385889,13.618054,5.1390767,8.4789773,301.83,120,0.63,119.37,607.1430586,239.985,1.51964,238.46536,2714.65,900,1.85,898.15,67.64,51.6,0,51.6,119.94,90,0.02,89.98,286.7129638,204.27081,0.05670385,204.2141062,298,330,480,2.764922985,Na2Ca3.96Mg2Si4O15Eu0.01
44.6,28,0.01,27.99,202,71,8,63,468.919606,174.9668,15.999,158.9678,840,185,60,125,9.18,3.44,0,3.44,24,7,2,5,48.7481692,13.618054,5.425871,8.192183,572.63,224,0.63,223.37,1186.139196,447.972,1.51964,446.45236,4101.45,1680,1.85,1678.15,121.262,96.32,0,96.32,222.4,168,0.02,167.98,512.7597265,381.305512,0.05670385,381.2488082,298,355,480,2.785329835,Ca8.55LuP7O28Eu0.01Mn0.04
44.76,28,0.01,27.99,202,71,8,63,468.919606,174.9668,15.999,158.9678,840,185,60,125,9.18,3.44,0,3.44,24,7,2,5,48.7481692,13.618054,5.425871,8.192183,575.73,224,0.5,223.5,1192.254475,447.972,1.09876088,446.8732391,4131.05,1680,1.85,1678.15,121.411,96.32,0,96.32,222.62,168,0.02,167.98,513.7114141,381.305512,0.05670385,381.2488082,298,355,480,2.81756537,Ca8.73LuP7O28Eu0.01Mn0.02
44.92,28,0.01,27.99,177,71,8,63,413.981562,174.9668,15.999,158.9678,700,185,60,125,7.63,3.44,0,3.44,17,6,2,4,41.3141512,13.618054,5.425871,8.192183,578.83,224,0.63,223.37,1198.369754,447.972,1.51964,446.45236,4160.65,1680,1.85,1678.15,121.56,96.32,0,96.32,222.84,168,0.02,167.98,514.6631017,381.305512,0.05670385,381.2488082,298,355,480,2.921166051,Ca8.91LuP7O28Eu0.01
44.95,28,0.01,27.99,170,63,8,55,382.858646,151.964,15.999,135.965,845,185,60,125,9.4,3.44,0,3.44,25,7,2,5,49.5395582,13.618054,5.670385,7.947669,548.93,224,0.63,223.37,1117.969147,447.972,1.51964,446.45236,4159.05,1680,1.85,1678.15,121.975,96.32,0,96.32,225.4,168,0.02,167.98,516.0341442,381.305512,0.05670385,381.2488082,298,365,486,2.397940009,Ca8.64YP7O28Eu0.01Mn0.3
44.8,28,0.01,27.99,170,63,8,55,382.858646,151.964,15.999,135.965,845,185,60,125,9.4,3.44,0,3.44,25,7,2,5,49.5395582,13.618054,5.670385,7.947669,544.505,224,0.375,223.625,1107.722335,447.972,0.82407066,447.1479293,4143.45,1680,1.85,1678.15,121.66825,96.32,0,96.32,223.675,168,0.02,167.98,514.740725,381.305512,0.05670385,381.2488082,298,365,486,2.633468456,Ca8.775YP7O28Eu0.01Mn0.015
44.84,28,0.01,27.99,170,63,8,55,382.858646,151.964,15.999,135.965,845,185,60,125,9.4,3.44,0,3.44,25,7,2,5,49.5395582,13.618054,5.670385,7.947669,545.28,224,0.25,223.75,1109.251154,447.972,0.54938044,447.4226196,4150.85,1680,1.4,1678.6,121.7055,96.32,0,96.32,223.73,168,0.02,167.98,514.9786469,381.305512,0.05670385,381.2488082,298,365,486,2.748188027,Ca8.82YP7O28Eu0.01Mn0.01
44.88,28,0.005,27.995,170,63,8,55,382.858646,151.964,15.999,135.965,845,185,60,125,9.4,3.44,0,3.44,25,7,2,5,49.5395582,13.618054,5.670385,7.947669,546.055,224,0.125,223.875,1110.779974,447.972,0.27469022,447.6973098,4158.25,1680,0.7,1679.3,121.74275,96.32,0,96.32,223.785,168,0.02,167.98,515.2165688,381.305512,0.03717009,381.2683419,298,365,486,2.838849091,Ca8.865YP7O28Eu0.01Mn0.005
44.92,28,0.01,27.99,145,63,8,55,327.920602,151.964,15.999,135.965,705,185,60,125,7.85,3.44,0,3.44,18,6,2,4,42.1055402,13.618054,5.670385,7.947669,546.83,224,0.63,223.37,1112.308794,447.972,1.51964,446.45236,4165.65,1680,1.85,1678.15,121.78,96.32,0,96.32,223.84,168,0.02,167.98,515.4544907,381.305512,0.05670385,381.2488082,298,365,486,2.913813852,Ca8.91YP7O28Eu0.01
12,7,0.01,6.99,181,63,8,55,417.429208,151.964,15.999,135.965,950,220,60,160,8.41,3.44,0,3.44,18,6,1,5,43.55393954,13.618054,4.34066354,9.27739046,180.07,56,0.63,55.37,389.690578,135.95373,1.51964,134.43409,1234.7,420,1.85,418.15,30.9411,24.08,0,24.08,56,42,0.02,41.98,127.7481488,95.326378,0.05670385,95.26967415,298,350,488,2.91239744,KBa0.99ScSi2O7Eu0.01
12,7,0.008,6.992,181,63,8,55,417.429208,151.964,15.999,135.965,950,220,60,160,8.41,3.44,0,3.44,18,6,1,5,43.55393954,13.618054,4.34066354,9.27739046,180.056,56,0.504,55.496,389.661304,136.228384,1.215712,135.012672,1234.76,420,1.48,418.52,30.94288,24.08,0,24.08,56,42,0.016,41.984,127.7472313,95.326378,0.04536308,95.28101492,298,350,488,2.91925596,KBa0.992ScSi2O7Eu0.008
12,7,0.007,6.993,181,63,8,55,417.429208,151.964,15.999,135.965,950,220,60,160,8.41,3.44,0,3.44,18,6,1,5,43.55393954,13.618054,4.34066354,9.27739046,180.049,56,0.441,55.559,389.646667,136.365711,1.063748,135.301963,1234.79,420,1.295,418.705,30.94377,24.08,0,24.08,56,42,0.014,41.986,127.7467726,95.326378,0.039692695,95.28668531,298,350,488,2.926172606,KBa0.993ScSi2O7Eu0.007
12,7,0.006,6.994,181,63,8,55,417.429208,151.964,15.999,135.965,950,220,60,160,8.41,3.44,0,3.44,18,6,1,5,43.55393954,13.618054,4.34066354,9.27739046,180.042,56,0.378,55.622,389.63203,136.503038,0.911784,135.591254,1234.82,420,1.11,418.89,30.94466,24.08,0,24.08,56,42,0.012,41.988,127.7463139,95.326378,0.03402231,95.29235569,298,350,488,2.934220616,KBa0.994ScSi2O7Eu0.006
12,7,0.005,6.995,181,63,8,55,417.429208,151.964,15.999,135.965,950,220,60,160,8.41,3.44,0,3.44,18,6,1,5,43.55393954,13.618054,4.34066354,9.27739046,180.035,56,0.315,55.685,389.617393,136.640365,0.75982,135.880545,1234.85,420,0.925,419.075,30.94555,24.08,0,24.08,56,42,0.01,41.99,127.7458551,95.326378,0.028351925,95.29802608,298,350,488,2.937076352,KBa0.995ScSi2O7Eu0.005
12,7,0.004,6.996,181,63,8,55,417.429208,151.964,15.999,135.965,950,220,60,160,8.41,3.44,0,3.44,18,6,1,5,43.55393954,13.618054,4.34066354,9.27739046,180.028,56,0.252,55.748,389.602756,136.777692,0.607856,136.169836,1234.88,420,0.74,419.26,30.94644,24.08,0,24.08,56,42,0.008,41.992,127.7453964,95.326378,0.02268154,95.30369646,298,350,488,2.946835297,KBa0.996ScSi2O7Eu0.004
12,7,0.003,6.997,181,63,8,55,417.429208,151.964,15.999,135.965,950,220,60,160,8.41,3.44,0,3.44,18,6,1,5,43.55393954,13.618054,4.34066354,9.27739046,180.021,56,0.189,55.811,389.588119,136.915019,0.455892,136.459127,1234.91,420,0.555,419.445,30.94733,24.08,0,24.08,56,42,0.006,41.994,127.7449377,95.326378,0.017011155,95.30936685,298,350,488,2.954806726,KBa0.997ScSi2O7Eu0.003
12,7,0.002,6.998,181,63,8,55,417.429208,151.964,15.999,135.965,950,220,60,160,8.41,3.44,0,3.44,18,6,1,5,43.55393954,13.618054,4.34066354,9.27739046,180.014,56,0.126,55.874,389.573482,137.052346,0.303928,136.748418,1234.94,420,0.37,419.63,30.94822,24.08,0,24.08,56,42,0.004,41.996,127.744479,95.326378,0.01134077,95.31503723,298,350,488,2.95752109,KBa0.998ScSi2O7Eu0.002
12,7,0.001,6.999,181,63,8,55,417.429208,151.964,15.999,135.965,950,220,60,160,8.41,3.44,0,3.44,18,6,1,5,43.55393954,13.618054,4.34066354,9.27739046,180.007,56,0.063,55.937,389.558845,137.189673,0.151964,137.037709,1234.97,420,0.185,419.815,30.94911,24.08,0,24.08,56,42,0.002,41.998,127.7440203,95.326378,0.005670385,95.32070762,298,350,488,2.965662571,KBa0.999ScSi2O7Eu0.001
44.12,28,0.01,27.99,195,64,8,56,451.202806,157.25,15.999,141.251,845,185,60,125,9.38,3.44,0,3.44,24,7,2,5,49.4720942,13.618054,5.670385,7.947669,556.33,224,0.63,223.37,1150.076558,447.972,1.51964,446.45236,4017.65,1680,1.85,1678.15,121.015,96.32,0,96.32,221.74,168,0.02,167.98,510.6285888,381.305512,0.05670385,381.2488082,298,355,490,2.365487985,Ca8.01GdP7O28Eu0.01Mn0.1
18.98,12,0.01,11.99,188,63,8,55,430.400646,151.964,15.999,135.965,865,200,60,140,9.35,3.44,0,3.44,25,7,2,5,49.1212702,13.618054,5.670385,7.947669,289.59,101.46,0.63,100.83,625.7615792,233.9454,1.51964,232.42576,1777.85,720,1.85,718.15,52.0715,41.28,0,41.28,97.46,72,0.02,71.98,218.5861707,163.416648,0.05670385,163.3599442,298,355,490,2.484299839,Sr2.67YP3O12Eu0.01Mn0.3
