Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Monitoring energy (nm),1st Excitation max. (nm),Formula
19.07,12,0.03,11.97,247,65,8,57,579.24332,158.92535,15.999,142.92635,1115,220,60,160,8.7,3.44,0,3.44,21,6,1,5,51.75274254,13.618054,4.34066354,9.27739046,262.47,96,1.95,94.05,562.0927225,191.988,4.7677605,187.2202395,1787.65,720,5.25,714.75,52.28,41.28,0,41.28,96.14,72,0.06,71.94,217.9547429,163.416648,0.175914,163.240734,298,420,300,KBaSc2P3O12Eu0.04Tb0.03
19.1,12,0.04,11.96,247,65,8,57,579.24332,158.92535,15.999,142.92635,1115,220,60,160,8.7,3.44,0,3.44,21,6,1,5,51.75274254,13.618054,4.34066354,9.27739046,264.42,96,2.52,93.48,566.860483,191.988,6.07856,185.90944,1792.9,720,7.4,712.6,52.28,41.28,0,41.28,96.2,72,0.08,71.92,218.1306569,163.416648,0.2268154,163.1898326,298,420,300,KBaSc2P3O12Eu0.04Tb0.06
19.13,12,0.04,11.96,247,65,8,57,579.24332,158.92535,15.999,142.92635,1115,220,60,160,8.7,3.44,0,3.44,21,6,1,5,51.75274254,13.618054,4.34066354,9.27739046,266.37,96,2.52,93.48,571.6282435,191.988,6.07856,185.90944,1798.15,720,7.4,712.6,52.28,41.28,0,41.28,96.26,72,0.08,71.92,218.3065709,163.416648,0.2268154,163.1898326,298,420,300,KBaSc2P3O12Eu0.04Tb0.09
19.16,12,0.04,11.96,247,65,8,57,579.24332,158.92535,15.999,142.92635,1115,220,60,160,8.7,3.44,0,3.44,21,6,1,5,51.75274254,13.618054,4.34066354,9.27739046,268.32,96,2.52,93.48,576.396004,191.988,6.07856,185.90944,1803.4,720,7.4,712.6,52.28,41.28,0,41.28,96.32,72,0.08,71.92,218.4824849,163.416648,0.2268154,163.1898326,298,420,300,KBaSc2P3O12Eu0.04Tb0.12
19.19,12,0.04,11.96,247,65,8,57,579.24332,158.92535,15.999,142.92635,1115,220,60,160,8.7,3.44,0,3.44,21,6,1,5,51.75274254,13.618054,4.34066354,9.27739046,270.27,96,2.52,93.48,581.1637645,191.988,6.07856,185.90944,1808.65,720,7.4,712.6,52.28,41.28,0,41.28,96.38,72,0.08,71.92,218.6583989,163.416648,0.2268154,163.1898326,298,420,300,KBaSc2P3O12Eu0.04Tb0.15
19.22,12,0.04,11.96,247,65,8,57,579.24332,158.92535,15.999,142.92635,1115,220,60,160,8.7,3.44,0,3.44,21,6,1,5,51.75274254,13.618054,4.34066354,9.27739046,272.22,96,2.52,93.48,585.931525,191.988,6.07856,185.90944,1813.9,720,7.4,712.6,52.28,41.28,0,41.28,96.44,72,0.08,71.92,218.8343129,163.416648,0.2268154,163.1898326,298,420,300,KBaSc2P3O12Eu0.04Tb0.18
13,8,0.01,7.99,118,63,8,55,263.1075385,151.964,15.999,135.965,660,185,60,125,7.95,3.44,0,3.44,17,6,2,4,39.5390456,13.618054,5.670385,7.947669,138.43,64,0.63,63.37,279.321937,127.992,1.51964,126.47236,1130.05,480,1.85,478.15,35.53,27.52,0,27.52,64,48,0.02,47.98,143.3280623,108.944432,0.05670385,108.8877282,298,425,354,Ca0.99Al2Si2O8Eu0.01
13,8,0.01,7.99,143,63,8,55,318.0455825,151.964,15.999,135.965,800,185,60,125,9.5,3.44,0,3.44,24,7,2,5,46.9730636,13.618054,5.670385,7.947669,138.68,64,0.63,63.37,280.0649392,127.992,1.51964,126.47236,1128.05,480,1.85,478.15,35.5575,27.52,0,27.52,64.25,48,0.02,47.98,143.3941054,108.944432,0.05670385,108.8877282,298,425,354,Ca0.94Al2Si2O8Eu0.01Mn0.05
13,8,0.01,7.99,143,63,8,55,318.0455825,151.964,15.999,135.965,800,185,60,125,9.5,3.44,0,3.44,24,7,2,5,46.9730636,13.618054,5.670385,7.947669,138.93,64,0.63,63.37,280.8079414,127.992,1.51964,126.47236,1126.05,480,1.85,478.15,35.585,27.52,0,27.52,64.5,48,0.02,47.98,143.4601486,108.944432,0.05670385,108.8877282,298,425,354,Ca0.89Al2Si2O8Eu0.01Mn0.1
13,8,0.01,7.99,143,63,8,55,318.0455825,151.964,15.999,135.965,800,185,60,125,9.5,3.44,0,3.44,24,7,2,5,46.9730636,13.618054,5.670385,7.947669,139.18,64,0.63,63.37,281.5509436,127.992,1.51964,126.47236,1124.05,480,1.85,478.15,35.6125,27.52,0,27.52,64.75,48,0.02,47.98,143.5261917,108.944432,0.05670385,108.8877282,298,425,354,Ca0.84Al2Si2O8Eu0.01Mn0.15
