Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Monitoring energy (nm),1st Excitation max. (nm),Formula
19.06,6,0.06,5.94,158,63,8,55,368.825,151.964,15.999,135.965,670,215,60,155,9.39,3.44,0,3.44,21,7,2,5,45.619416,13.618054,5.211664,8.40639,461.78,280,3.78,276.22,1060.61684,686.635,9.11784,677.51716,2266.1,1075,11.1,1063.9,47.85,20.64,0,20.64,96.12,42,0.12,41.88,202.2160131,81.708324,0.3402231,81.3681009,298,510,400,Ba5Si2O6Cl6Eu0.06
13,5,0.01,4.99,200,63,7,56,463.2693785,151.964,14.007,137.957,940,215,60,155,12.1,3.44,0,3.44,25,6,2,4,59.3889444,14.53413,5.211664,9.322466,200.07,55.44,0.63,54.81,438.545287,135.95373,1.51964,134.43409,1309.7,325,1.85,323.15,31.2011,15.2,0,15.2,56,25,0.02,24.98,139.615172,72.67065,0.05670385,72.61394615,298,510,354,Ba0.99YSi2Al2O2N5Eu0.01
12.03,6,0.03,5.97,220,71,5,66,526.5168,174.9668,10.81,164.1568,820,215,60,155,10.53,3.44,0,3.44,22,7,2,5,51.191623,13.618054,5.211664,8.40639,259.89,112,1.89,110.11,607.24372,274.654,4.55892,270.09508,1240.55,430,5.55,424.45,30.66,20.64,0,20.64,55.06,36,0.06,35.94,127.2913026,81.708324,0.17011155,81.53821245,298,511,365,Ba2LuB2O6ClEu0.03
13,5,0.02,4.98,200,63,7,56,463.2693785,151.964,14.007,137.957,940,215,60,155,12.1,3.44,0,3.44,25,6,2,4,59.3889444,14.53413,5.211664,9.322466,200.14,54.88,1.26,53.62,438.691657,134.58046,3.03928,131.54118,1309.4,325,3.7,321.3,31.1922,15.2,0,15.2,56,25,0.04,24.96,139.6197592,72.67065,0.1134077,72.5572423,298,512,358,Ba0.98YSi2Al2O2N5Eu0.02
13,5,0.01,4.99,232,71,7,64,549.3303385,174.9668,14.007,160.9598,935,215,60,155,11.88,3.44,0,3.44,24,6,2,4,58.5975554,14.53413,5.211664,9.322466,232.07,71,0.63,70.37,524.606247,174.9668,1.51964,173.44716,1304.7,325,1.85,323.15,30.9811,15.2,0,15.2,55,25,0.02,24.98,138.823783,72.67065,0.05670385,72.61394615,298,512,305,Ba0.99LuAl2Si2O2N5Eu0.01
13,8,0.01,7.99,144,63,8,55,326.634762,151.964,15.999,135.965,725,200,60,140,7.58,3.44,0,3.44,17,6,2,4,41.5831474,13.618054,5.670385,7.947669,185.93,66.5,0.63,65.87,394.490884,153.335,1.51964,151.81536,1255.05,480,1.85,478.15,34.8025,27.52,0,27.52,64,48,0.02,47.98,147.5208379,108.944432,0.05670385,108.8877282,298,514,279,Sr1.75Ca1.24P2O8Eu0.01
20.001,12,0.001,11.999,156,63,8,55,364.348762,151.964,15.999,135.965,670,215,60,155,8.42,3.44,0,3.44,19,6,2,4,43.138472,13.618054,5.211664,8.40639,420.063,280,0.063,279.937,968.807488,686.635,0.151964,686.483036,2105.185,1075,0.185,1074.815,52.01,41.28,0,41.28,96.002,72,0.002,71.998,218.6056934,163.416648,0.005670385,163.4109776,298,515,405,Ba5P2SiO12Eu0.001
20.005,12,0.005,11.995,156,63,8,55,364.348762,151.964,15.999,135.965,670,215,60,155,8.42,3.44,0,3.44,19,6,2,4,43.138472,13.618054,5.211664,8.40639,420.315,280,0.315,279.685,969.415344,686.635,0.75982,685.87518,2105.925,1075,0.925,1074.075,52.01,41.28,0,41.28,96.01,72,0.01,71.99,218.6283749,163.416648,0.028351925,163.3882961,298,515,405,Ba5P2SiO12Eu0.005
20.01,12,0.01,11.99,156,63,8,55,364.348762,151.964,15.999,135.965,670,215,60,155,8.42,3.44,0,3.44,19,6,2,4,43.138472,13.618054,5.211664,8.40639,420.63,280,0.63,279.37,970.175164,686.635,1.51964,685.11536,2106.85,1075,1.85,1073.15,52.01,41.28,0,41.28,96.02,72,0.02,71.98,218.6567269,163.416648,0.05670385,163.3599442,298,515,405,Ba5P2SiO12Eu0.01
20.02,12,0.02,11.98,156,63,8,55,364.348762,151.964,15.999,135.965,670,215,60,155,8.42,3.44,0,3.44,19,6,2,4,43.138472,13.618054,5.211664,8.40639,421.26,280,1.26,278.74,971.694804,686.635,3.03928,683.59572,2108.7,1075,3.7,1071.3,52.01,41.28,0,41.28,96.04,72,0.04,71.96,218.7134307,163.416648,0.1134077,163.3032403,298,515,405,Ba5P2SiO12Eu0.02
20.03,12,0.03,11.97,156,63,8,55,364.348762,151.964,15.999,135.965,670,215,60,155,8.42,3.44,0,3.44,19,6,2,4,43.138472,13.618054,5.211664,8.40639,421.89,280,1.89,278.11,973.214444,686.635,4.55892,682.07608,2110.55,1075,5.55,1069.45,52.01,41.28,0,41.28,96.06,72,0.06,71.94,218.7701346,163.416648,0.17011155,163.2465365,298,515,405,Ba5P2SiO12Eu0.03
20.04,12,0.04,11.96,156,63,8,55,364.348762,151.964,15.999,135.965,670,215,60,155,8.42,3.44,0,3.44,19,6,2,4,43.138472,13.618054,5.211664,8.40639,422.52,280,2.52,277.48,974.734084,686.635,6.07856,680.55644,2112.4,1075,7.4,1067.6,52.01,41.28,0,41.28,96.08,72,0.08,71.92,218.8268384,163.416648,0.2268154,163.1898326,298,515,405,Ba5P2SiO12Eu0.04
13,5,0.04,4.96,200,63,7,56,463.2693785,151.964,14.007,137.957,940,215,60,155,12.1,3.44,0,3.44,25,6,2,4,59.3889444,14.53413,5.211664,9.322466,200.28,53.76,2.52,51.24,438.984397,131.83392,6.07856,125.75536,1308.8,325,7.4,317.6,31.1744,15.2,0,15.2,56,25,0.08,24.92,139.6289336,72.67065,0.2268154,72.4438346,298,515,354,Ba0.96YSi2Al2O2N5Eu0.04
11,7,0.04,6.96,132,63,8,55,306.5245,151.964,15.999,135.965,580,200,60,140,6.02,3.44,0,3.44,15,6,2,4,31.7294932,13.618054,5.670385,7.947669,179,74.48,2.52,71.96,391.68976,171.7352,6.07856,165.65664,1089.4,420,7.4,412.6,29.202,24.08,0,24.08,56,42,0.08,41.92,120.2075071,95.326378,0.2268154,95.0995626,298,518,355,Sr1.96V2O7Eu0.04
11,7,0.08,6.92,132,63,8,55,306.5245,151.964,15.999,135.965,580,200,60,140,6.02,3.44,0,3.44,15,6,2,4,31.7294932,13.618054,5.670385,7.947669,180,72.96,5.04,67.92,394.26352,168.2304,12.15712,156.07328,1088.8,420,14.8,405.2,29.164,24.08,0,24.08,56,42,0.16,41.84,120.2065278,95.326378,0.4536308,94.8727472,298,518,355,Sr1.92V2O7Eu0.08
11,7,0.12,6.88,132,63,8,55,306.5245,151.964,15.999,135.965,580,200,60,140,6.02,3.44,0,3.44,15,6,2,4,31.7294932,13.618054,5.670385,7.947669,181,71.44,7.56,63.88,396.83728,164.7256,18.23568,146.48992,1088.2,420,22.2,397.8,29.126,24.08,0,24.08,56,42,0.24,41.76,120.2055485,95.326378,0.6804462,94.6459318,298,518,355,Sr1.88V2O7Eu0.12
11,7,0.16,6.84,132,63,8,55,306.5245,151.964,15.999,135.965,580,200,60,140,6.02,3.44,0,3.44,15,6,2,4,31.7294932,13.618054,5.670385,7.947669,182,69.92,10.08,59.84,399.41104,161.2208,24.31424,136.90656,1087.6,420,29.6,390.4,29.088,24.08,0,24.08,56,42,0.32,41.68,120.2045692,95.326378,0.9072616,94.4191164,298,518,355,Sr1.84V2O7Eu0.16
11,7,0.2,6.8,132,63,8,55,306.5245,151.964,15.999,135.965,580,200,60,140,6.02,3.44,0,3.44,15,6,2,4,31.7294932,13.618054,5.670385,7.947669,183,68.4,12.6,55.8,401.9848,157.716,30.3928,127.3232,1087,420,37,383,29.05,24.08,0,24.08,56,42,0.4,41.6,120.20359,95.326378,1.134077,94.192301,298,518,355,Sr1.80V2O7Eu0.2
11,7,0.24,6.76,132,63,8,55,306.5245,151.964,15.999,135.965,580,200,60,140,6.02,3.44,0,3.44,15,6,2,4,31.7294932,13.618054,5.670385,7.947669,184,66.88,15.12,51.76,404.55856,154.2112,36.47136,117.73984,1086.4,420,44.4,375.6,29.012,24.08,0,24.08,56,42,0.48,41.52,120.2026107,95.326378,1.3608924,93.9654856,298,518,355,Sr1.76V2O7Eu0.24
13,5,0.08,4.92,200,63,7,56,463.2693785,151.964,14.007,137.957,940,215,60,155,12.1,3.44,0,3.44,25,6,2,4,59.3889444,14.53413,5.211664,9.322466,200.56,51.52,5.04,46.48,439.569877,126.34084,12.15712,114.18372,1307.6,325,14.8,310.2,31.1388,15.2,0,15.2,56,25,0.16,24.84,139.6472825,72.67065,0.4536308,72.2170192,298,519,359,Ba0.92YSi2Al2O2N5Eu0.08
12.03,6,0.03,5.97,188,63,5,58,440.45584,151.964,10.81,141.154,825,215,60,155,10.75,3.44,0,3.44,23,7,2,5,51.983012,13.618054,5.211664,8.40639,227.89,112,1.89,110.11,521.18276,274.654,4.55892,270.09508,1245.55,430,5.55,424.45,30.88,20.64,0,20.64,56.06,36,0.06,35.94,128.0826916,81.708324,0.17011155,81.53821245,298,526,365,Ba2YB2O6ClEu0.03
13,5,0.01,4.99,214,71,7,64,499.6233385,174.9668,14.007,160.9598,920,200,60,140,11.94,3.44,0,3.44,24,6,2,4,59.0807586,14.53413,5.425871,9.108259,214.25,71,0.63,70.37,475.396317,174.9668,1.51964,173.44716,1289.85,325,1.85,323.15,31.0405,15.2,0,15.2,55,25,0.02,24.98,139.3021542,72.67065,0.05670385,72.61394615,298,526,305,Sr0.99LuAl2Si2O2N5Eu0.01
13,5,0.12,4.88,200,63,7,56,463.2693785,151.964,14.007,137.957,940,215,60,155,12.1,3.44,0,3.44,25,6,2,4,59.3889444,14.53413,5.211664,9.322466,200.84,49.28,7.56,41.72,440.155357,120.84776,18.23568,102.61208,1306.4,325,22.2,302.8,31.1032,15.2,0,15.2,56,25,0.24,24.76,139.6656313,72.67065,0.6804462,71.9902038,298,527,362,Ba0.88YSi2Al2O2N5Eu0.12
11.996,7,0.004,6.996,117,63,8,55,260.431,151.964,15.999,135.965,685,185,60,125,7.65,3.44,0,3.44,16,6,2,4,41.1995122,13.618054,5.670385,7.947669,136.092,56,0.252,55.748,272.911232,111.993,0.607856,111.385144,1149.3,420,0.74,419.26,31.182,24.08,0,24.08,55.992,42,0.008,41.992,131.4760657,95.326378,0.02268154,95.30369646,298,528,381,Ca1.992MgSi2O7Eu0.004
11.996,7,0.004,6.996,142,63,8,55,315.369044,151.964,15.999,135.965,825,185,60,125,9.2,3.44,0,3.44,23,7,2,5,48.6335302,13.618054,5.670385,7.947669,137.392,56,0.252,55.748,275.9745364,111.993,0.607856,111.385144,1148.3,420,0.74,419.26,31.206,24.08,0,24.08,56.492,42,0.008,41.992,131.454844,95.326378,0.02268154,95.30369646,298,528,381,Ca1.992Mg0.9Si2O7Eu0.004Mn0.1
11.996,7,0.004,6.996,142,63,8,55,315.369044,151.964,15.999,135.965,825,185,60,125,9.2,3.44,0,3.44,23,7,2,5,48.6335302,13.618054,5.670385,7.947669,138.042,56,0.252,55.748,277.5061886,111.993,0.607856,111.385144,1147.8,420,0.74,419.26,31.218,24.08,0,24.08,56.742,42,0.008,41.992,131.4442331,95.326378,0.02268154,95.30369646,298,528,381,Ca1.992Mg0.85Si2O7Eu0.004Mn0.15
11.996,7,0.004,6.996,142,63,8,55,315.369044,151.964,15.999,135.965,825,185,60,125,9.2,3.44,0,3.44,23,7,2,5,48.6335302,13.618054,5.670385,7.947669,138.692,56,0.252,55.748,279.0378408,111.993,0.607856,111.385144,1147.3,420,0.74,419.26,31.23,24.08,0,24.08,56.992,42,0.008,41.992,131.4336223,95.326378,0.02268154,95.30369646,298,528,381,Ca1.992Mg0.8Si2O7Eu0.004Mn0.2
11.996,7,0.004,6.996,142,63,8,55,315.369044,151.964,15.999,135.965,825,185,60,125,9.2,3.44,0,3.44,23,7,2,5,48.6335302,13.618054,5.670385,7.947669,139.342,56,0.252,55.748,280.569493,111.993,0.607856,111.385144,1146.8,420,0.74,419.26,31.242,24.08,0,24.08,57.242,42,0.008,41.992,131.4230114,95.326378,0.02268154,95.30369646,298,528,381,Ca1.992Mg0.75Si2O7Eu0.004Mn0.25
11.996,7,0.004,6.996,142,63,8,55,315.369044,151.964,15.999,135.965,825,185,60,125,9.2,3.44,0,3.44,23,7,2,5,48.6335302,13.618054,5.670385,7.947669,139.992,56,0.252,55.748,282.1011452,111.993,0.607856,111.385144,1146.3,420,0.74,419.26,31.254,24.08,0,24.08,57.492,42,0.008,41.992,131.4124006,95.326378,0.02268154,95.30369646,298,528,381,Ca1.992Mg0.7Si2O7Eu0.004Mn0.3
11.996,7,0.004,6.996,142,63,8,55,315.369044,151.964,15.999,135.965,825,185,60,125,9.2,3.44,0,3.44,23,7,2,5,48.6335302,13.618054,5.670385,7.947669,140.642,56,0.252,55.748,283.6327974,111.993,0.607856,111.385144,1145.8,420,0.74,419.26,31.266,24.08,0,24.08,57.742,42,0.008,41.992,131.4017897,95.326378,0.02268154,95.30369646,298,528,381,Ca1.992Mg0.65Si2O7Eu0.004Mn0.35
13,5,0.16,4.84,200,63,7,56,463.2693785,151.964,14.007,137.957,940,215,60,155,12.1,3.44,0,3.44,25,6,2,4,59.3889444,14.53413,5.211664,9.322466,201.12,47.04,10.08,36.96,440.740837,115.35468,24.31424,91.04044,1305.2,325,29.6,295.4,31.0676,15.2,0,15.2,56,25,0.32,24.68,139.6839802,72.67065,0.9072616,71.7633884,298,533,359,Ba0.84YSi2Al2O2N5Eu0.16
7.06,4,0.06,3.94,122,63,12,51,278.052,151.964,24.305,127.659,565,185,100,85,5.7,2.58,0,2.58,13,6,2,4,29.6759318,10.36001,5.670385,4.689625,141.78,64,3.78,60.22,301.10884,139.446,9.11784,130.32816,821.1,400,11.1,388.9,15.25,10.32,0,10.32,32.12,24,0.12,23.88,61.4251017,41.44004,0.3402231,41.0998169,298,538,430,MgGa2S4Eu0.06
8,4,0.06,3.94,122,63,12,51,278.052,151.964,24.305,127.659,565,185,100,85,5.7,2.58,0,2.58,13,6,2,4,29.6759318,10.36001,5.670385,4.689625,153.06,64,3.78,60.22,323.95554,139.446,9.11784,130.32816,962.1,400,11.1,388.9,16.4814,10.32,0,10.32,34,24,0.12,23.88,68.6125626,41.44004,0.3402231,41.0998169,298,538,430,Mg1.94Ga2S4Eu0.06
7.05,4,0.05,3.95,140,63,16,47,319.127,151.964,32.06,119.904,550,185,100,85,6.04,2.58,0,2.58,23,12,2,10,31.4238958,10.36001,5.670385,4.689625,159.15,64,3.15,60.85,340.6642,139.446,7.5982,131.8478,804.25,400,9.25,390.75,15.59,10.32,0,10.32,42.1,24,0.1,23.9,63.11636185,41.44004,0.28351925,41.15652075,298,540,460,ZnGa2S4Eu0.05
13.01,6,0.01,5.99,156,63,3,60,365.3045385,151.964,6.94,145.024,845,215,65,150,8.42,3.04,0,3.04,17,5,1,4,44.94534516,14.53413,5.211664,9.322466,158.63,56,0.63,55.37,346.901717,137.327,1.51964,135.80736,1366.85,390,1.85,388.15,28.11,18.24,0,18.24,48.02,30,0.02,29.98,131.5314802,87.20478,0.05670385,87.14807615,298,540,395,BaLi2Al2Si2N6Eu0.01
42,26,0.02,25.98,170,65,8,57,395.05135,158.92535,15.999,142.92635,710,185,60,125,6.34,3.44,0,3.44,16,6,2,4,39.4170772,13.618054,5.670385,7.947669,851.96,518.7,1.26,517.44,1935.903573,1268.224293,3.03928,1265.185013,3980.2,1560,3.7,1556.3,102.84,89.44,0,89.44,200,156,0.04,155.96,462.1123441,354.069404,0.1134077,353.9559963,298,545,238,Ca2Tb7.98Si6O26Eu0.02
12.03,6,0.03,5.97,213,64,5,59,508.8,157.25,10.81,146.44,825,215,60,155,10.73,3.44,0,3.44,22,7,2,5,51.915548,13.618054,5.211664,8.40639,252.89,112,1.89,110.11,589.52692,274.654,4.55892,270.09508,1245.55,430,5.55,424.45,30.86,20.64,0,20.64,55.06,36,0.06,35.94,128.0152276,81.708324,0.17011155,81.53821245,298,548,365,Ba2GdB2O6ClEu0.03
18.007,9,0.007,8.993,123,63,5,58,285.3914032,151.964,10.81,141.154,580,200,50,150,10.41,3.98,0,3.98,20,7,2,5,50.7041452,17.42282,5.670385,11.752435,286.441,190,0.441,189.559,634.5831512,438.1,1.063748,437.036252,1846.295,1000,1.295,998.705,45.81,30.96,0,30.96,80.014,54,0.014,53.986,193.3933917,122.562486,0.039692695,122.5227933,298,572,335,Sr5B3O9FEu0.007
18.01,9,0.01,8.99,123,63,5,58,285.3914032,151.964,10.81,141.154,580,200,50,150,10.41,3.98,0,3.98,20,7,2,5,50.7041452,17.42282,5.670385,11.752435,286.63,190,0.63,189.37,635.0390432,438.1,1.51964,436.58036,1846.85,1000,1.85,998.15,45.81,30.96,0,30.96,80.02,54,0.02,53.98,193.4104029,122.562486,0.05670385,122.5057822,298,572,335,Sr5B3O9FEu0.01
18.015,9,0.015,8.985,123,63,5,58,285.3914032,151.964,10.81,141.154,580,200,50,150,10.41,3.98,0,3.98,20,7,2,5,50.7041452,17.42282,5.670385,11.752435,286.945,190,0.945,189.055,635.7988632,438.1,2.27946,435.82054,1847.775,1000,2.775,997.225,45.81,30.96,0,30.96,80.03,54,0.03,53.97,193.4387548,122.562486,0.085055775,122.4774302,298,572,335,Sr5B3O9FEu0.015
18.02,9,0.02,8.98,123,63,5,58,285.3914032,151.964,10.81,141.154,580,200,50,150,10.41,3.98,0,3.98,20,7,2,5,50.7041452,17.42282,5.670385,11.752435,287.26,190,1.26,188.74,636.5586832,438.1,3.03928,435.06072,1848.7,1000,3.7,996.3,45.81,30.96,0,30.96,80.04,54,0.04,53.96,193.4671067,122.562486,0.1134077,122.4490783,298,572,335,Sr5B3O9FEu0.02
18.03,9,0.03,8.97,123,63,5,58,285.3914032,151.964,10.81,141.154,580,200,50,150,10.41,3.98,0,3.98,20,7,2,5,50.7041452,17.42282,5.670385,11.752435,287.89,190,1.89,188.11,638.0783232,438.1,4.55892,433.54108,1850.55,1000,5.55,994.45,45.81,30.96,0,30.96,80.06,54,0.06,53.94,193.5238106,122.562486,0.17011155,122.3923745,298,572,335,Sr5B3O9FEu0.03
18.07,9,0.07,8.93,123,63,5,58,285.3914032,151.964,10.81,141.154,580,200,50,150,10.41,3.98,0,3.98,20,7,2,5,50.7041452,17.42282,5.670385,11.752435,290.41,190,4.41,185.59,644.1568832,438.1,10.63748,427.46252,1857.95,1000,12.95,987.05,45.81,30.96,0,30.96,80.14,54,0.14,53.86,193.750626,122.562486,0.39692695,122.1655591,298,572,335,Sr5B3O9FEu0.07
18.12,9,0.12,8.88,123,63,5,58,285.3914032,151.964,10.81,141.154,580,200,50,150,10.41,3.98,0,3.98,20,7,2,5,50.7041452,17.42282,5.670385,11.752435,293.56,190,7.56,182.44,651.7550832,438.1,18.23568,419.86432,1867.2,1000,22.2,977.8,45.81,30.96,0,30.96,80.24,54,0.24,53.76,194.0341452,122.562486,0.6804462,121.8820398,298,572,335,Sr5B3O9FEu0.12
41.91,24,0.01,23.99,123,63,8,55,274.464762,151.964,15.999,135.965,625,185,60,125,9.79,3.44,0,3.44,22,7,2,5,48.8559102,13.618054,5.670385,7.947669,514.81,199.2,0.63,198.57,1039.288092,399.17688,1.51964,397.65724,4028.65,1792.8,1.85,1790.95,111.7904,82.56,0,82.56,207.52,144,0.02,143.98,475.8543438,326.833296,0.05670385,326.7765922,298,574,528,Ca9.96P6O24Cl1.94Eu0.01
11.01,6,0.01,5.99,114,63,5,58,266.393,151.964,10.81,141.154,530,200,60,140,6.43,3.44,0,3.44,13,6,2,4,33.2813252,13.618054,5.670385,7.947669,172.63,114,0.63,113.37,381.99364,262.86,1.51964,261.34036,1131.85,600,1.85,598.15,27.57,20.64,0,20.64,48.02,36,0.02,35.98,115.4456675,81.708324,0.05670385,81.65162015,298,574,377,Sr3B2O6Eu0.01
17,9,0.04,8.96,153,63,7,56,358.3645385,151.964,14.007,137.957,700,215,65,150,7.44,3.04,0,3.04,16,5,2,3,39.5536304,14.53413,5.211664,9.322466,258.28,109.76,2.52,107.24,568.7090185,269.16092,6.07856,263.08236,1688.8,585,7.4,577.6,40.2144,27.36,0,27.36,72,45,0.08,44.92,187.9930302,130.80717,0.2268154,130.5803546,298,580,450,Ba1.96AlSi5N9Eu0.04
11,7,0.05,6.95,168,63,8,55,398.09247,151.964,15.999,135.965,595,195,60,135,5.87,3.44,0,3.44,15,6,2,4,31.499239,13.618054,5.5769,8.041154,250.3,111.15,3.15,108,572.9048665,270.8656665,7.5982,263.2674665,1119.5,420,9.25,410.75,28.885,24.08,0,24.08,55.95,42,0.1,41.9,119.7526523,95.326378,0.28351925,95.04285875,298,586,393,La1.95Zr2O7Eu0.05
11,7,0.05,6.95,168,63,8,55,398.09247,151.964,15.999,135.965,595,195,60,135,5.87,3.44,0,3.44,15,6,2,4,31.499239,13.618054,5.5769,8.041154,250.3,111.15,3.15,108,572.9048665,270.8656665,7.5982,263.2674665,1119.5,420,9.25,410.75,28.885,24.08,0,24.08,55.95,42,0.1,41.9,119.7526523,95.326378,0.28351925,95.04285875,323,586,393,La1.95Zr2O7Eu0.05
11,7,0.05,6.95,168,63,8,55,398.09247,151.964,15.999,135.965,595,195,60,135,5.87,3.44,0,3.44,15,6,2,4,31.499239,13.618054,5.5769,8.041154,250.3,111.15,3.15,108,572.9048665,270.8656665,7.5982,263.2674665,1119.5,420,9.25,410.75,28.885,24.08,0,24.08,55.95,42,0.1,41.9,119.7526523,95.326378,0.28351925,95.04285875,373,586,393,La1.95Zr2O7Eu0.05
11,7,0.05,6.95,168,63,8,55,398.09247,151.964,15.999,135.965,595,195,60,135,5.87,3.44,0,3.44,15,6,2,4,31.499239,13.618054,5.5769,8.041154,250.3,111.15,3.15,108,572.9048665,270.8656665,7.5982,263.2674665,1119.5,420,9.25,410.75,28.885,24.08,0,24.08,55.95,42,0.1,41.9,119.7526523,95.326378,0.28351925,95.04285875,423,586,393,La1.95Zr2O7Eu0.05
11,7,0.05,6.95,168,63,8,55,398.09247,151.964,15.999,135.965,595,195,60,135,5.87,3.44,0,3.44,15,6,2,4,31.499239,13.618054,5.5769,8.041154,250.3,111.15,3.15,108,572.9048665,270.8656665,7.5982,263.2674665,1119.5,420,9.25,410.75,28.885,24.08,0,24.08,55.95,42,0.1,41.9,119.7526523,95.326378,0.28351925,95.04285875,473,586,393,La1.95Zr2O7Eu0.05
11,7,0.05,6.95,168,63,8,55,398.09247,151.964,15.999,135.965,595,195,60,135,5.87,3.44,0,3.44,15,6,2,4,31.499239,13.618054,5.5769,8.041154,250.3,111.15,3.15,108,572.9048665,270.8656665,7.5982,263.2674665,1119.5,420,9.25,410.75,28.885,24.08,0,24.08,55.95,42,0.1,41.9,119.7526523,95.326378,0.28351925,95.04285875,523,586,393,La1.95Zr2O7Eu0.05
11,7,0.05,6.95,168,63,8,55,398.09247,151.964,15.999,135.965,595,195,60,135,5.87,3.44,0,3.44,15,6,2,4,31.499239,13.618054,5.5769,8.041154,250.3,111.15,3.15,108,572.9048665,270.8656665,7.5982,263.2674665,1119.5,420,9.25,410.75,28.885,24.08,0,24.08,55.95,42,0.1,41.9,119.7526523,95.326378,0.28351925,95.04285875,573,586,393,La1.95Zr2O7Eu0.05
24,15,0.05,14.95,136,63,8,55,310.861762,151.964,15.999,135.965,695,200,60,140,7.89,3.44,0,3.44,17,6,2,4,43.1162272,13.618054,5.670385,7.947669,293.25,120,3.15,116.85,615.252248,239.985,7.5982,232.3868,2149.25,900,9.25,890.75,66.1425,51.6,0,51.6,120,90,0.1,89.9,280.5447693,204.27081,0.28351925,203.9872908,298,589,393,Sr1.95Mg3P4O15Eu0.05
24,15,0.1,14.9,136,63,8,55,310.861762,151.964,15.999,135.965,695,200,60,140,7.89,3.44,0,3.44,17,6,2,4,43.1162272,13.618054,5.670385,7.947669,294.5,120,6.3,113.7,618.469448,239.985,15.1964,224.7886,2148.5,900,18.5,881.5,66.095,51.6,0,51.6,120,90,0.2,89.8,280.5435452,204.27081,0.5670385,203.7037715,298,589,393,Sr1.9Mg3P4O15Eu0.1
24,15,0.15,14.85,136,63,8,55,310.861762,151.964,15.999,135.965,695,200,60,140,7.89,3.44,0,3.44,17,6,2,4,43.1162272,13.618054,5.670385,7.947669,295.75,120,9.45,110.55,621.686648,239.985,22.7946,217.1904,2147.75,900,27.75,872.25,66.0475,51.6,0,51.6,120,90,0.3,89.7,280.5423211,204.27081,0.85055775,203.4202523,298,589,393,Sr1.85Mg3P4O15Eu0.15
24,15,0.2,14.8,136,63,8,55,310.861762,151.964,15.999,135.965,695,200,60,140,7.89,3.44,0,3.44,17,6,2,4,43.1162272,13.618054,5.670385,7.947669,297,120,12.6,107.4,624.903848,239.985,30.3928,209.5922,2147,900,37,863,66,51.6,0,51.6,120,90,0.4,89.6,280.541097,204.27081,1.134077,203.136733,298,589,393,Sr1.8Mg3P4O15Eu0.2
24,15,0.25,14.75,136,63,8,55,310.861762,151.964,15.999,135.965,695,200,60,140,7.89,3.44,0,3.44,17,6,2,4,43.1162272,13.618054,5.670385,7.947669,298.25,120,15.75,104.25,628.121048,239.985,37.991,201.994,2146.25,900,46.25,853.75,65.9525,51.6,0,51.6,120,90,0.5,89.5,280.5398729,204.27081,1.41759625,202.8532138,298,589,393,Sr1.75Mg3P4O15Eu0.25
24,15,0.3,14.7,136,63,8,55,310.861762,151.964,15.999,135.965,695,200,60,140,7.89,3.44,0,3.44,17,6,2,4,43.1162272,13.618054,5.670385,7.947669,299.5,120,18.9,101.1,631.338248,239.985,45.5892,194.3958,2145.5,900,55.5,844.5,65.905,51.6,0,51.6,120,90,0.6,89.4,280.5386487,204.27081,1.7011155,202.5696945,298,589,393,Sr1.7Mg3P4O15Eu0.3
24,15,0.35,14.65,136,63,8,55,310.861762,151.964,15.999,135.965,695,200,60,140,7.89,3.44,0,3.44,17,6,2,4,43.1162272,13.618054,5.670385,7.947669,300.75,120,22.05,97.95,634.555448,239.985,53.1874,186.7976,2144.75,900,64.75,835.25,65.8575,51.6,0,51.6,120,90,0.7,89.3,280.5374246,204.27081,1.98463475,202.2861753,298,589,393,Sr1.65Mg3P4O15Eu0.35
24,15,0.4,14.6,136,63,8,55,310.861762,151.964,15.999,135.965,695,200,60,140,7.89,3.44,0,3.44,17,6,2,4,43.1162272,13.618054,5.670385,7.947669,302,120,25.2,94.8,637.772648,239.985,60.7856,179.1994,2144,900,74,826,65.81,51.6,0,51.6,120,90,0.8,89.2,280.5362005,204.27081,2.268154,202.002656,298,589,393,Sr1.6Mg3P4O15Eu0.4
