Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Excitation source (nm),Temp. (K),Ext. quantum efficiency (%),Formula
10,6,0.4,5.6,203,73,8,65,477.89472,180.94788,15.999,164.94888,750,185,60,125,7.16,3.44,0,3.44,18,6,2,4,39.1684242,13.618054,5.670385,7.947669,209.6,73,23.4,49.6,471.226984,180.94788,53.343504,127.604376,1047,360,74,286,24.872,20.64,0,20.64,47.6,36,0.8,35.2,107.4827144,81.708324,2.268154,79.44017,395,298,12.4,Ca2Y0.6TaO6Eu0.4
36.03,16,0.03,15.97,136,63,3,60,311.4455693,151.964,6.94,145.024,915,235,60,175,8.07,3.44,0,3.44,15,6,1,5,42.14804146,13.618054,4.177128,9.440926,291.89,128,1.89,126.11,610.6000278,255.984,4.55892,251.42508,3920.55,1740,5.55,1734.45,78.01,55.04,0,55.04,128.06,96,0.06,95.94,334.9606428,217.888864,0.17011155,217.7187525,400,298,13,RbNa3Li12Si4O16Eu0.03
14,8,0.4,7.6,168,71,8,63,396.8933313,174.9668,15.999,158.9678,700,185,60,125,7.56,3.44,0,3.44,16,6,1,5,40.3400727,13.618054,5.1390767,8.4789773,194.8,64,25.2,38.8,424.6745118,127.992,60.7856,67.2064,1399,540,74,466,35.29,27.52,0,27.52,63,48,0.8,47.2,150.8587107,108.944432,2.268154,106.676278,393,298,14,Na3Lu0.6P2O8Eu0.4
10,6,0.4,5.6,199,63,8,55,468.70647,151.964,15.999,135.965,765,195,60,135,7.59,3.44,0,3.44,18,6,2,4,39.5868832,13.618054,5.5769,8.041154,198.4,51,25.2,25.8,442.038882,121.76,60.7856,60.9744,1056,360,74,286,25.35,20.64,0,20.64,47.6,36,0.8,35.2,108.1573174,81.708324,2.268154,79.44017,465,298,16.6,Ca2La0.6SbO6Eu0.4
26,15,0.5,14.5,173,64,5,59,403.0825385,157.25,10.81,146.44,815,185,60,125,9.29,3.44,0,3.44,18,6,2,4,45.8351776,13.618054,5.670385,7.947669,302.5,120,20,100,639.0106155,239.985,43.24,196.745,2337.5,900,90,810,68.19,51.6,0,51.6,119,90,1,89,279.6697473,204.27081,2.8351925,201.4356175,397,298,17.7,Ca3Gd0.5Al3O15B4Eu0.5
15,7,0.04,6.96,114,63,8,55,255.1244032,151.964,15.999,135.965,585,185,50,135,10.32,3.98,0,3.98,21,7,2,5,50.9760972,17.42282,5.670385,11.752435,183.72,79.2,2.52,76.68,370.9472463,158.70888,6.07856,152.63032,1460.2,712.8,7.4,705.4,39.8,24.08,0,24.08,72,42,0.08,41.92,170.910294,95.326378,0.2268154,95.0995626,400,298,17.9,Ca3.96Si2O7F2Eu0.04
20.02,12,0.02,11.98,117,63,8,55,262.340062,151.964,15.999,135.965,715,220,60,160,7.76,3.44,0,3.44,16,6,1,5,41.76202354,13.618054,4.34066354,9.27739046,209.26,96,1.26,94.74,424.266866,191.988,3.03928,188.94872,1843.7,720,3.7,716.3,53.91,41.28,0,41.28,96.04,72,0.04,71.96,229.9157172,163.416648,0.1134077,163.3032403,365,298,18.6,KMg4P3O12Eu0.02
14,8,0.4,7.6,168,71,8,63,396.8933313,174.9668,15.999,158.9678,700,185,60,125,7.56,3.44,0,3.44,16,6,1,5,40.3400727,13.618054,5.1390767,8.4789773,193.2,64,28.4,35.6,420.0739518,127.992,61.947524,66.044476,1401,540,70,470,35.09,27.52,0,27.52,63,48,0.8,47.2,150.9076135,108.944432,2.1703484,106.7740836,393,298,19,Na3Lu0.4P2O8Eu0.6
10,6,0.4,5.6,225,74,8,66,538.0032393,183.84,15.999,167.841,905,195,60,135,8.48,3.44,0,3.44,20,6,1,5,45.5146807,13.618054,5.1390767,8.4789773,204.4,74,11,63,471.2576513,183.84,22.98976928,160.8502307,1016,360,74,286,25.24,20.64,0,20.64,47.6,36,0.8,35.2,107.9719597,81.708324,2.268154,79.44017,464,298,19.3,NaLa0.6MgWO6Eu0.4
45,28,0.08,27.92,157,63,8,55,355.81767,151.964,15.999,135.965,855,200,60,140,9.25,3.44,0,3.44,20,6,2,4,49.6777172,13.618054,5.670385,7.947669,668,300.96,5.04,295.92,1440.156762,693.9504,12.15712,681.79328,4288.8,1680,14.8,1665.2,121.844,96.32,0,96.32,224,168,0.16,167.84,514.477018,381.305512,0.4536308,380.8518812,400,298,20.8,Sr7.92MgScP7O28Eu0.08
13.01,8,0.01,7.99,164,63,8,55,367.018902,151.964,15.999,135.965,925,220,60,160,8.67,3.44,0,3.44,19,6,1,5,46.44620374,13.618054,4.34066354,9.27739046,172.63,64,0.63,63.37,359.541304,127.992,1.51964,126.47236,1261.85,480,1.85,478.15,34.94,27.52,0,27.52,64.02,48,0.02,47.98,146.6455866,108.944432,0.05670385,108.8877282,380,298,21.4,KCaYP2O8Eu0.01
21.025,12,0.025,11.975,115,63,8,55,258.0131652,151.964,15.999,135.965,575,185,50,135,10.61,3.98,0,3.98,22,7,2,5,53.3111002,17.42282,5.670385,11.752435,251.575,100,1.575,98.425,508.0967892,200.39,3.7991,196.5909,1974.625,900,4.625,895.375,56.83,41.28,0,41.28,104.05,72,0.05,71.95,243.0070616,163.416648,0.141759625,163.2748884,335,298,21.7,Ca5P3O12FEu0.025
14,8,0.2,7.8,168,71,8,63,396.8933313,174.9668,15.999,158.9678,700,185,60,125,7.56,3.44,0,3.44,16,6,1,5,40.3400727,13.618054,5.1390767,8.4789773,191.6,64,14.2,49.8,415.4733918,127.992,34.99336,92.99864,1403,540,35,505,34.89,27.52,0,27.52,63,48,0.4,47.6,150.9565163,108.944432,1.0851742,107.8592578,393,298,23,Na3Lu0.2P2O8Eu0.8
13,5,0.01,4.99,214,71,7,64,499.6233385,174.9668,14.007,160.9598,920,200,60,140,11.94,3.44,0,3.44,24,6,2,4,59.0807586,14.53413,5.425871,9.108259,214.25,71,0.63,70.37,475.396317,174.9668,1.51964,173.44716,1289.85,325,1.85,323.15,31.0405,15.2,0,15.2,55,25,0.02,24.98,139.3021542,72.67065,0.05670385,72.61394615,365,298,23.7,Sr0.99LuAl2Si2O2N5Eu0.01
13,8,0.02,7.98,206,63,14,49,488.34147,151.964,28.085,123.879,805,215,100,115,6.47,2.58,0,2.58,17,6,2,4,34.970642,10.36001,5.211664,5.148346,326.14,128,1.26,126.74,728.08068,277.81094,3.03928,274.77166,1624.4,800,3.7,796.3,27.5122,20.64,0,20.64,64,48,0.04,47.96,115.5580844,82.88008,0.1134077,82.7666723,405,298,23.73,Ba0.98La2Si2S8Eu0.02
14,8,1,7,97,63,8,55,221.9265313,151.964,15.999,135.965,525,185,60,125,6.56,3.44,0,3.44,14,6,1,5,34.9142017,13.618054,5.1390767,8.4789773,190,64,30,34,410.8728318,151.964,61.947524,90.016476,1405,540,185,355,34.69,27.52,0,27.52,63,48,2,46,151.0054191,108.944432,5.670385,103.274047,393,298,26,Na3P2O8Eu1
