Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Monitoring energy (nm),2nd Excitation max. (nm),Formula
19.93,12,0.07,11.93,118,63,8,55,266.8824393,151.964,15.999,135.965,685,185,60,125,7.92,3.44,0,3.44,17,6,1,5,41.4756917,13.618054,5.1390767,8.4789773,218.87,96,4.41,91.59,451.2093221,191.988,10.63748,181.35052,1867.75,720,12.95,707.05,53.2298,41.28,0,41.28,96,72,0.14,71.86,223.0943723,163.416648,0.39692695,163.0197211,298,453,250,Na2.86Sc2P3O12Eu0.07
19.93,12,0.07,11.93,118,63,8,55,266.8824393,151.964,15.999,135.965,685,185,60,125,7.92,3.44,0,3.44,17,6,1,5,41.4756917,13.618054,5.1390767,8.4789773,218.87,96,4.41,91.59,451.2093221,191.988,10.63748,181.35052,1867.75,720,12.95,707.05,53.2298,41.28,0,41.28,96,72,0.14,71.86,223.0943723,163.416648,0.39692695,163.0197211,323,453,250,Na2.86Sc2P3O12Eu0.07
19.93,12,0.07,11.93,118,63,8,55,266.8824393,151.964,15.999,135.965,685,185,60,125,7.92,3.44,0,3.44,17,6,1,5,41.4756917,13.618054,5.1390767,8.4789773,218.87,96,4.41,91.59,451.2093221,191.988,10.63748,181.35052,1867.75,720,12.95,707.05,53.2298,41.28,0,41.28,96,72,0.14,71.86,223.0943723,163.416648,0.39692695,163.0197211,373,453,250,Na2.86Sc2P3O12Eu0.07
19.93,12,0.07,11.93,118,63,8,55,266.8824393,151.964,15.999,135.965,685,185,60,125,7.92,3.44,0,3.44,17,6,1,5,41.4756917,13.618054,5.1390767,8.4789773,218.87,96,4.41,91.59,451.2093221,191.988,10.63748,181.35052,1867.75,720,12.95,707.05,53.2298,41.28,0,41.28,96,72,0.14,71.86,223.0943723,163.416648,0.39692695,163.0197211,423,453,250,Na2.86Sc2P3O12Eu0.07
19.93,12,0.07,11.93,118,63,8,55,266.8824393,151.964,15.999,135.965,685,185,60,125,7.92,3.44,0,3.44,17,6,1,5,41.4756917,13.618054,5.1390767,8.4789773,218.87,96,4.41,91.59,451.2093221,191.988,10.63748,181.35052,1867.75,720,12.95,707.05,53.2298,41.28,0,41.28,96,72,0.14,71.86,223.0943723,163.416648,0.39692695,163.0197211,473,453,250,Na2.86Sc2P3O12Eu0.07
42,26,0.05,25.95,163,63,8,55,377.920232,151.964,15.999,135.965,720,195,60,135,7.73,3.44,0,3.44,18,6,2,4,41.4651802,13.618054,5.5769,8.041154,574.15,208,3.15,204.85,1205.845812,415.974,7.5982,408.3758,3990.25,1560,9.25,1550.75,112.73,89.44,0,89.44,208,156,0.1,155.9,477.0264231,354.069404,0.28351925,353.7858848,298,453,370,Ca7.95La2P6O26Eu0.05
42,26,0.02,25.98,163,63,8,55,377.920232,151.964,15.999,135.965,720,195,60,135,7.73,3.44,0,3.44,18,6,2,4,41.4651802,13.618054,5.5769,8.041154,572.86,208,1.26,206.74,1202.489232,415.974,3.03928,412.93472,3990.1,1560,3.7,1556.3,112.76,89.44,0,89.44,208,156,0.04,155.96,477.0397062,354.069404,0.1134077,353.9559963,298,453,370,Ca7.98La2P6O26Eu0.02
42,26,0.06,25.94,163,63,8,55,377.920232,151.964,15.999,135.965,720,195,60,135,7.73,3.44,0,3.44,18,6,2,4,41.4651802,13.618054,5.5769,8.041154,574.58,208,3.78,204.22,1206.964672,415.974,9.11784,406.85616,3990.3,1560,11.1,1548.9,112.72,89.44,0,89.44,208,156,0.12,155.88,477.0219954,354.069404,0.3402231,353.7291809,298,453,370,Ca7.94La2P6O26Eu0.06
42,26,0.08,25.92,163,63,8,55,377.920232,151.964,15.999,135.965,720,195,60,135,7.73,3.44,0,3.44,18,6,2,4,41.4651802,13.618054,5.5769,8.041154,575.44,208,5.04,202.96,1209.202392,415.974,12.15712,403.81688,3990.4,1560,14.8,1545.2,112.7,89.44,0,89.44,208,156,0.16,155.84,477.01314,354.069404,0.4536308,353.6157732,298,453,370,Ca7.92La2P6O26Eu0.08
14.03,8,0.03,7.97,181,63,8,55,415.440062,151.964,15.999,135.965,960,220,60,160,8.34,3.44,0,3.44,18,6,1,5,45.44060774,13.618054,4.34066354,9.27739046,209.89,64,1.89,62.11,450.100044,137.327,4.55892,132.76808,1520.55,480,5.55,474.45,35.43,27.52,0,27.52,64.06,48,0.06,47.94,150.0940618,108.944432,0.17011155,108.7743205,298,460,325,K2BaCaP2O8Eu0.03
