Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Excitation source (nm),CIE x coordinate,Formula
42.05,24,0.05,23.95,153,63,8,55,345.6331652,151.964,15.999,135.965,775,200,50,150,11.56,3.98,0,3.98,24,7,2,5,59.0059674,17.42282,5.670385,11.752435,611.15,228,3.15,224.85,1301.445578,525.72,7.5982,518.1218,4069.25,1440,9.25,1430.75,113.36,82.56,0,82.56,208.1,144,0.1,143.9,483.5043953,326.833296,0.28351925,326.5497768,298,368,0.143,Sr6Ca4P6O24F2Eu0.05
26,16,0.06,15.94,118,63,8,55,263.319762,151.964,15.999,135.965,675,185,60,125,7.94,3.44,0,3.44,17,6,2,4,43.5345152,13.618054,5.670385,7.947669,286.58,128,3.78,124.22,579.741208,255.984,9.11784,246.86616,2350.3,960,11.1,948.9,70.67,55.04,0,55.04,128,96,0.12,95.88,301.0872124,217.888864,0.3402231,217.5486409,298,365,0.143,Ca2.94Mg3P4O16Eu0.06
21,12,0.1,11.9,227,63,8,55,533.2659352,151.964,15.999,135.965,1025,220,50,170,12.42,3.98,0,3.98,26,7,1,6,62.32717254,17.42282,4.34066354,13.08215646,394.7,162.4,6.3,156.1,895.3561592,398.2483,15.1964,383.0519,2127,720,18.5,701.5,56.331,41.28,0,41.28,104,72,0.2,71.8,237.8979536,163.416648,0.5670385,162.8496095,298,388,0.147,Ba2.9LaKP3O12FEu0.1
20.02,12,0.02,11.98,117,63,8,55,262.340062,151.964,15.999,135.965,715,220,60,160,7.76,3.44,0,3.44,16,6,1,5,41.76202354,13.618054,4.34066354,9.27739046,209.26,96,1.26,94.74,424.266866,191.988,3.03928,188.94872,1843.7,720,3.7,716.3,53.91,41.28,0,41.28,96.04,72,0.04,71.96,229.9157172,163.416648,0.1134077,163.3032403,298,365,0.1479,KMg4P3O12Eu0.02
32,19,0.2,18.8,140,63,8,55,332.2715385,151.964,15.999,135.965,585,215,60,155,5.94,3.44,0,3.44,13,6,2,4,30.4858714,13.618054,5.211664,8.40639,365.4,156,12.6,143.4,768.013862,323.778462,30.3928,293.385662,2849,1500,37,1463,85.392,65.36,0,65.36,152,114,0.4,113.6,335.875655,258.743026,1.134077,257.608949,298,350,0.1502,Ba0.8Al12O19Eu0.2
32,19,0.25,18.75,140,63,8,55,332.2715385,151.964,15.999,135.965,585,215,60,155,5.94,3.44,0,3.44,13,6,2,4,30.4858714,13.618054,5.211664,8.40639,365.75,156,15.75,140.25,768.745712,323.778462,37.991,285.787462,2847.5,1500,46.25,1453.75,85.3475,65.36,0,65.36,152,114,0.5,113.5,335.898591,258.743026,1.41759625,257.3254298,298,350,0.1502,Ba0.75Al12O19Eu0.25
20.01,12,0.01,11.99,117,63,8,55,262.340062,151.964,15.999,135.965,715,220,60,160,7.76,3.44,0,3.44,16,6,1,5,41.76202354,13.618054,4.34066354,9.27739046,208.63,96,0.63,95.37,422.747226,191.988,1.51964,190.46836,1841.85,720,1.85,718.15,53.91,41.28,0,41.28,96.02,72,0.02,71.98,229.8590134,163.416648,0.05670385,163.3599442,298,365,0.1507,KMg4P3O12Eu0.01
14.008,8,0.008,7.992,136,63,8,55,301.1028313,151.964,15.999,135.965,925,220,60,160,8.38,3.44,0,3.44,17,6,1,5,45.36802044,13.618054,4.34066354,9.27739046,164.504,64,0.504,63.496,333.3993053,127.992,1.215712,126.776288,1441.48,480,1.48,478.52,35.65,27.52,0,27.52,64.016,48,0.016,47.984,151.6692177,108.944432,0.04536308,108.8990689,298,365,0.1509,KNaCa2P2O8Eu0.008
32,19,0.1,18.9,140,63,8,55,332.2715385,151.964,15.999,135.965,585,215,60,155,5.94,3.44,0,3.44,13,6,2,4,30.4858714,13.618054,5.211664,8.40639,364.7,156,6.3,149.7,766.550162,323.778462,15.1964,308.582062,2852,1500,18.5,1481.5,85.481,65.36,0,65.36,152,114,0.2,113.8,335.8297829,258.743026,0.5670385,258.1759875,298,350,0.1512,Ba0.9Al12O19Eu0.1
32,19,0.07,18.93,140,63,8,55,332.2715385,151.964,15.999,135.965,585,215,60,155,5.94,3.44,0,3.44,13,6,2,4,30.4858714,13.618054,5.211664,8.40639,364.49,156,4.41,151.59,766.111052,323.778462,10.63748,313.140982,2852.9,1500,12.95,1487.05,85.5077,65.36,0,65.36,152,114,0.14,113.86,335.8160213,258.743026,0.39692695,258.346099,298,350,0.1514,Ba0.93Al12O19Eu0.07
32,19,0.05,18.95,140,63,8,55,332.2715385,151.964,15.999,135.965,585,215,60,155,5.94,3.44,0,3.44,13,6,2,4,30.4858714,13.618054,5.211664,8.40639,364.35,156,3.15,152.85,765.818312,323.778462,7.5982,316.180262,2853.5,1500,9.25,1490.75,85.5255,65.36,0,65.36,152,114,0.1,113.9,335.8068469,258.743026,0.28351925,258.4595068,298,350,0.1518,Ba0.95Al12O19Eu0.05
15,7,0.04,6.96,114,63,8,55,255.1244032,151.964,15.999,135.965,585,185,50,135,10.32,3.98,0,3.98,21,7,2,5,50.9760972,17.42282,5.670385,11.752435,183.72,79.2,2.52,76.68,370.9472463,158.70888,6.07856,152.63032,1460.2,712.8,7.4,705.4,39.8,24.08,0,24.08,72,42,0.08,41.92,170.910294,95.326378,0.2268154,95.0995626,298,400,0.152,Ca3.96Si2O7F2Eu0.04
21.02,12,0.02,11.98,123,63,8,55,274.464762,151.964,15.999,135.965,625,185,60,125,9.79,3.44,0,3.44,22,7,2,5,48.8559102,13.618054,5.670385,7.947669,259.26,100,1.26,98.74,523.788566,200.39,3.03928,197.35072,2023.7,900,3.7,896.3,56.01,41.28,0,41.28,104.04,72,0.04,71.96,238.5235197,163.416648,0.1134077,163.3032403,298,400,0.152,Ca5P3O12ClEu0.02
32,19,0.03,18.97,140,63,8,55,332.2715385,151.964,15.999,135.965,585,215,60,155,5.94,3.44,0,3.44,13,6,2,4,30.4858714,13.618054,5.211664,8.40639,364.21,156,1.89,154.11,765.525572,323.778462,4.55892,319.219542,2854.1,1500,5.55,1494.45,85.5433,65.36,0,65.36,152,114,0.06,113.94,335.7976724,258.743026,0.17011155,258.5729145,298,350,0.1522,Ba0.97Al12O19Eu0.03
