Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Excitation source (nm),Thermal quenching temp. (K),Formula
20,12,0.1,11.9,206,63,8,55,476.5370013,151.964,15.999,135.965,1030,200,60,140,10.51,3.44,0,3.44,23,6,1,5,54.3376519,13.618054,5.1390767,8.4789773,324.5,110.2,6.3,103.9,713.2101633,254.098,15.1964,238.9016,2003.5,720,18.5,701.5,52.345,41.28,0,41.28,96,72,0.2,71.8,220.3398331,163.416648,0.5670385,162.8496095,325,432,Sr2.9LaNaP2SiO12Eu0.1
10.98,4,0.01,3.99,112,63,7,56,250.133,151.964,14.007,137.957,600,185,60,125,9.38,3.44,0,3.44,19,6,2,4,48.0874072,14.53413,5.670385,8.863745,134.03,59.4,0.63,58.77,268.7313,119.03166,1.51964,117.51202,1126.45,534.6,1.85,532.75,26.61,13.76,0,13.76,47.96,24,0.02,23.98,118.0566168,54.472216,0.05670385,54.41551215,330,478,Ca2.97Si2O4N2Eu0.01
7.03,4,0.03,3.97,145,63,4,59,342.3871831,151.964,9.0121831,142.9518169,675,215,60,155,7.8,3.44,0,3.44,16,6,2,4,41.974485,13.618054,5.211664,8.40639,107.89,56,1.89,54.11,242.9791031,137.327,4.55892,132.76808,675.55,240,5.55,234.45,18.12,13.76,0,13.76,32.06,24,0.06,23.94,77.32837355,54.472216,0.17011155,54.30210445,337,483,BaBeSiO4Eu0.03
42.08,24,0.08,23.92,194,63,8,55,441.455232,151.964,15.999,135.965,930,195,60,135,12.79,3.44,0,3.44,29,7,2,5,62.5844932,13.618054,5.5769,8.041154,557.04,192,5.04,186.96,1149.5944,383.976,12.15712,371.81888,4079.8,1620,14.8,1605.2,111.83,82.56,0,82.56,208.16,144,0.16,143.84,474.4025966,326.833296,0.4536308,326.3796652,345,418,Ca9LaP5SiO24Cl2Eu0.08
45.64,28,0.01,27.99,150,63,8,55,333.051106,151.964,15.999,135.965,885,220,60,160,9,3.44,0,3.44,23,7,1,6,47.66296174,13.618054,4.34066354,9.27739046,541.38,224,0.63,223.37,1091.803215,447.972,1.51964,446.45236,4334.05,1728,1.85,1726.15,122.1165,96.32,0,96.32,223.43,168,0.02,167.98,518.0189919,381.305512,0.05670385,381.2488082,347,543,Ca9.6KP7O28Eu0.01Mn0.03
21.01,12,0.01,11.99,189,63,8,55,441.2792432,151.964,15.999,135.965,800,215,50,165,11.43,3.98,0,3.98,24,7,2,5,56.291866,17.42282,5.211664,12.211156,376.63,117,0.63,116.37,838.1325632,274.654,1.51964,273.13436,2071.85,720,1.85,718.15,56.4,41.28,0,41.28,104.02,72,0.02,71.98,234.4263289,163.416648,0.05670385,163.3599442,350,370,Ba2Y3Si3O12FEu0.01
7,4,0.05,3.95,145,63,3,60,343.203762,151.964,6.94,145.024,705,215,60,155,7.5,3.44,0,3.44,16,6,1,5,40.37850376,13.618054,5.211664,8.40639,106.35,53.2,3,50.2,239.968612,130.46065,6.94,123.52065,698.5,240,9.25,230.75,17.7755,13.76,0,13.76,32,24,0.1,23.9,75.58521681,54.472216,0.28351925,54.18869675,350,433,LiBa0.95PO4Eu0.05
44.6,28,0.01,27.99,195,64,8,56,451.202806,157.25,15.999,141.251,845,185,60,125,9.38,3.44,0,3.44,24,7,2,5,49.4720942,13.618054,5.670385,7.947669,565.63,224,0.63,223.37,1168.422396,447.972,1.51964,446.45236,4106.45,1680,1.85,1678.15,121.462,96.32,0,96.32,222.4,168,0.02,167.98,513.4836515,381.305512,0.05670385,381.2488082,355,445,Ca8.55GdP7O28Eu0.01Mn0.04
13,5,0.08,4.92,200,63,7,56,463.2693785,151.964,14.007,137.957,940,215,60,155,12.1,3.44,0,3.44,25,6,2,4,59.3889444,14.53413,5.211664,9.322466,200.56,51.52,5.04,46.48,439.569877,126.34084,12.15712,114.18372,1307.6,325,14.8,310.2,31.1388,15.2,0,15.2,56,25,0.16,24.84,139.6472825,72.67065,0.4536308,72.2170192,359,433,Ba0.92YSi2Al2O2N5Eu0.08
8.7,6,0.3,5.7,177,64,8,56,421.163,157.25,15.999,141.251,570,185,60,125,6.8,3.44,0,3.44,16,6,2,4,32.530665,13.618054,5.670385,7.947669,198.5,89.6,18.9,70.7,457.6832,220.15,45.5892,174.5608,812.5,360,55.5,304.5,24.48,20.64,0,20.64,45.4,36,0.6,35.4,99.1115839,81.708324,1.7011155,80.0072085,360,380,Gd1.4MoO6Eu0.3
9.3,6,0.3,5.7,177,64,8,56,421.163,157.25,15.999,141.251,570,185,60,125,6.8,3.44,0,3.44,16,6,2,4,32.530665,13.618054,5.670385,7.947669,236.9,128,18.9,109.1,552.0332,314.5,45.5892,268.9108,920.5,360,55.5,304.5,25.2,20.64,0,20.64,46.6,36,0.6,35.4,102.8014615,81.708324,1.7011155,80.0072085,360,383,Gd2MoO6Eu0.3
10,6,0.09,5.91,207,74,8,66,487.831,183.84,15.999,167.841,705,185,60,125,8.3,3.44,0,3.44,22,6,2,4,40.3580542,13.618054,5.670385,7.947669,179.47,59.2,5.67,53.53,392.55974,147.072,13.67676,133.39524,1037.45,523.8,16.65,507.15,25.342,20.64,0,20.64,48,36,0.18,35.82,107.7176503,81.708324,0.51033465,81.19798935,365,355,Ca2.91Mo0.2W0.8O6Eu0.09
